Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Água Branca (AL),19008,468,40.6
Anadia (AL),13811,186,74.2
Arapiraca (AL),234696,346,678.99
Atalaia (AL),37512,533,70.34
Barra de Santo Antônio (AL),16365,131,124.58
Barra de São Miguel (AL),7944,74,106.99
Batalha (AL),16448,316,52.07
Belém (AL),4722,67,70.87
Belo Monte (AL),5936,334,17.77
Boca da Mata (AL),21187,193,109.78
Branquinha (AL),9603,168,57.14
Cacimbinhas (AL),10476,282,37.19
Cajueiro (AL),16024,94,169.82
Campestre (AL),6665,66,101.12
Campo Alegre (AL),32106,313,102.66
Campo Grande (AL),8142,170,47.85
Canapi (AL),15559,603,25.81
Capela (AL),15032,264,57
Carneiros (AL),8999,112,80.57
Chã Preta (AL),5910,158,37.45
Coité do Nóia (AL),10810,89,121.79
Colônia Leopoldina (AL),15816,208,76.06
Coqueiro Seco (AL),5581,40,140.91
Coruripe (AL),50414,898,56.15
Craíbas (AL),25397,279,91.07
Delmiro Gouveia (AL),51319,629,81.65
Dois Riachos (AL),9805,142,69.23
Estrela de Alagoas (AL),15429,261,59.17
Feira Grande (AL),22712,176,129.11
Feliz Deserto (AL),3963,110,36.01
Flexeiras (AL),9618,334,28.82
Girau do Ponciano (AL),36102,513,70.31
Ibateguara (AL),13731,265,51.75
Igaci (AL),23995,334,71.77
Igreja Nova (AL),21372,427,50.11
Inhapi (AL),15167,372,40.77
Jacaré dos Homens (AL),5083,149,34.12
Jacuípe (AL),5352,209,25.64
Japaratinga (AL),9219,85,108.01
Jaramataia (AL),4985,105,47.29
Jequiá da Praia (AL),9470,334,28.33
Joaquim Gomes (AL),17152,298,57.52
Jundiá (AL),4093,89,46.1
Junqueiro (AL),23907,248,96.51
Lagoa da Canoa (AL),18457,84,220.72
Limoeiro de Anadia (AL),24740,309,80.01
Maceió (AL),957916,509,1880.77
Major Isidoro (AL),17700,443,39.98
Maragogi (AL),32174,334,96.28
Maravilha (AL),9534,332,28.68
Marechal Deodoro (AL),60370,341,177.05
Maribondo (AL),13679,180,75.95
Mar Vermelho (AL),3155,92,34.39
Mata Grande (AL),21844,915,23.88
Matriz de Camaragibe (AL),23857,238,100.19
Messias (AL),15405,114,134.95
Minador do Negrão (AL),4845,167,28.93
Monteirópolis (AL),7184,87,82.95
Murici (AL),25187,418,60.25
Novo Lino (AL),10024,216,46.5
Olho d'Água das Flores (AL),20695,188,109.95
Olho d'Água do Casado (AL),8349,328,25.48
Olho d'Água Grande (AL),4330,117,37.01
Olivença (AL),10812,175,61.68
Ouro Branco (AL),11446,197,58.23
Palestina (AL),4325,38,113.25
Palmeira dos Índios (AL),71574,451,158.7
Pão de Açúcar (AL),23823,689,34.58
Pariconha (AL),10573,255,41.51
Paripueira (AL),13835,93,149.1
Passo de Camaragibe (AL),13804,251,54.93
Paulo Jacinto (AL),6576,118,55.51
Penedo (AL),58647,688,85.19
Piaçabuçu (AL),15897,244,65.24
Pilar (AL),35370,260,136.24
Pindoba (AL),2731,117,23.32
Piranhas (AL),22609,404,55.96
Poço das Trincheiras (AL),12518,284,44.04
Porto Calvo (AL),24071,313,76.85
Porto de Pedras (AL),9295,257,36.15
Porto Real do Colégio (AL),20079,236,85.13
Quebrangulo (AL),11080,320,34.64
Rio Largo (AL),93927,294,319.68
Roteiro (AL),6474,129,50.21
Santa Luzia do Norte (AL),6919,29,239.77
Santana do Ipanema (AL),46220,436,105.97
Santana do Mundaú (AL),11323,232,48.77
São Brás (AL),6555,139,47.15
São José da Laje (AL),20813,257,81.11
São José da Tapera (AL),30604,491,62.35
São Luís do Quitunde (AL),30873,397,77.72
São Miguel dos Campos (AL),51990,336,154.88
São Miguel dos Milagres (AL),8482,77,110.54
São Sebastião (AL),31786,315,100.93
Satuba (AL),24278,41,588.3
Senador Rui Palmeira (AL),12302,339,36.34
Tanque d'Arca (AL),5796,125,46.51
Taquarana (AL),19032,154,123.71
Teotônio Vilela (AL),38053,299,127.17
Traipu (AL),23565,682,34.57
União dos Palmares (AL),59280,420,141.02
Viçosa (AL),24092,368,65.49
