Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Alvarães (AM),15866,5923,2.68
Amaturá (AM),10819,4754,2.28
Anamã (AM),9962,2446,4.07
Anori (AM),17194,6036,2.85
Apuí (AM),20647,54241,0.38
Atalaia do Norte (AM),15314,76508,0.2
Autazes (AM),41582,7653,5.43
Barcelos (AM),18831,122461,0.15
Barreirinha (AM),31065,5752,5.4
Benjamin Constant (AM),37648,8705,4.32
Beruri (AM),20718,17473,1.19
Boa Vista do Ramos (AM),23785,2589,9.19
Boca do Acre (AM),35447,21939,1.62
Borba (AM),33056,44236,0.75
Caapiranga (AM),13473,9456,1.42
Canutama (AM),16869,33643,0.5
Carauari (AM),28742,25779,1.11
Careiro (AM),30792,6096,5.05
Careiro da Várzea (AM),19638,2627,7.47
Coari (AM),70496,57971,1.22
Codajás (AM),23549,18701,1.26
Eirunepé (AM),33170,14966,2.22
Envira (AM),17186,7506,2.29
Fonte Boa (AM),25871,12155,2.13
Guajará (AM),13815,7584,1.82
Humaitá (AM),57473,33111,1.74
Ipixuna (AM),24311,12110,2.01
Iranduba (AM),60993,2217,27.51
Itacoatiara (AM),103598,8892,11.65
Itamarati (AM),10937,25260,0.43
Itapiranga (AM),10162,4335,2.34
Japurá (AM),8858,55827,0.16
Juruá (AM),10742,19443,0.55
Jutaí (AM),25172,69457,0.36
Lábrea (AM),45448,68263,0.67
Manacapuru (AM),101883,7337,13.89
Manaquiri (AM),17107,3973,4.31
Manaus (AM),2063547,11401,181
Manicoré (AM),53914,48315,1.12
Maraã (AM),15520,16831,0.92
Maués (AM),61204,39991,1.53
Nhamundá (AM),20135,14107,1.43
Nova Olinda do Norte (AM),27062,5578,4.85
Novo Airão (AM),15761,37777,0.42
Novo Aripuanã (AM),23817,41180,0.58
Parintins (AM),96372,5956,16.18
Pauini (AM),19373,41625,0.47
Presidente Figueiredo (AM),30668,25459,1.2
Rio Preto da Eva (AM),24936,5816,4.29
Santa Isabel do Rio Negro (AM),14164,62800,0.23
Santo Antônio do Içá (AM),28211,12366,2.28
São Gabriel da Cachoeira (AM),51795,109193,0.47
São Paulo de Olivença (AM),32967,19659,1.68
São Sebastião do Uatumã (AM),11670,10647,1.1
Silves (AM),11559,3723,3.1
Tabatinga (AM),66764,3260,20.48
Tapauá (AM),19599,84946,0.23
Tefé (AM),73669,23692,3.11
Tonantins (AM),19247,6447,2.99
Uarini (AM),14431,10275,1.4
Urucará (AM),18626,27902,0.67
Urucurituba (AM),23945,2886,8.3
