Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Serra do Navio (AP),4673,7713,0.61
Amapá (AP),7943,8455,0.94
Pedra Branca do Amapari (AP),12847,9622,1.34
Calçoene (AP),10612,14117,0.75
Cutias (AP),4461,2179,2.05
Ferreira Gomes (AP),6666,4974,1.34
Itaubal (AP),5599,1623,3.45
Laranjal do Jari (AP),35114,30783,1.14
Macapá (AP),442933,6564,67.48
Mazagão (AP),21918,13295,1.65
Oiapoque (AP),27482,23034,1.19
Porto Grande (AP),17848,4428,4.03
Pracuúba (AP),3803,4949,0.77
Santana (AP),107373,1541,69.67
Tartarugalzinho (AP),12945,6685,1.94
Vitória do Jari (AP),11291,2509,4.5
