Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Abaíra (BA),7301,539,13.55
Abaré (BA),17639,1605,10.99
Acajutiba (BA),13795,181,76.02
Adustina (BA),14200,629,22.57
Água Fria (BA),14497,743,19.52
Érico Cardoso (BA),10604,735,14.42
Aiquara (BA),4446,168,26.48
Alagoinhas (BA),151065,708,213.42
Alcobaça (BA),24530,1478,16.6
Almadina (BA),5218,245,21.28
Amargosa (BA),36522,432,84.61
Amélia Rodrigues (BA),24138,167,144.65
América Dourada (BA),15137,822,18.41
Anagé (BA),25438,1900,13.39
Andaraí (BA),13080,1590,8.22
Andorinha (BA),15012,1362,11.02
Angical (BA),13732,1530,8.97
Anguera (BA),11031,188,58.73
Antas (BA),14206,320,44.43
Antônio Cardoso (BA),11146,294,37.97
Antônio Gonçalves (BA),10862,345,31.46
Aporá (BA),15930,479,33.24
Apuarema (BA),6913,151,45.83
Aracatu (BA),13936,1490,9.35
Araçás (BA),11557,475,24.35
Araci (BA),48035,1496,32.1
Aramari (BA),9833,369,26.65
Arataca (BA),10191,436,23.38
Aratuípe (BA),8677,174,49.86
Aurelino Leal (BA),11179,445,25.1
Baianópolis (BA),13614,3321,4.1
Baixa Grande (BA),18220,968,18.83
Banzaê (BA),11958,410,29.2
Barra (BA),51092,11428,4.47
Barra da Estiva (BA),26026,1657,15.7
Barra do Choça (BA),36539,766,47.71
Barra do Mendes (BA),13836,1436,9.63
Barra do Rocha (BA),5774,214,26.93
Barreiras (BA),159743,8051,19.84
Barro Alto (BA),13453,415,32.46
Barrocas (BA),15203,207,73.34
Barro Preto (BA),5583,202,27.7
Belmonte (BA),20121,1939,10.37
Belo Campo (BA),18412,773,23.83
Biritinga (BA),15146,554,27.35
Boa Nova (BA),13690,849,16.13
Boa Vista do Tupim (BA),16873,2972,5.68
Bom Jesus da Lapa (BA),65550,4116,15.93
Bom Jesus da Serra (BA),9730,468,20.79
Boninal (BA),13622,897,15.19
Bonito (BA),15844,791,20.02
Boquira (BA),19322,1426,13.55
Botuporã (BA),11024,628,17.56
Brejões (BA),12943,519,24.96
Brejolândia (BA),9108,2247,4.05
Brotas de Macaúbas (BA),11765,2521,4.67
Brumado (BA),70512,2208,31.94
Buerarema (BA),14804,219,67.45
Buritirama (BA),19589,4047,4.84
Caatiba (BA),6205,512,12.11
Cabaceiras do Paraguaçu (BA),16559,222,74.58
Cachoeira (BA),29251,395,74.07
Caculé (BA),22462,611,36.76
Caém (BA),10384,541,19.2
Caetanos (BA),11266,767,14.69
Caetité (BA),52012,2652,19.62
Cafarnaum (BA),17466,644,27.14
Cairu (BA),17761,449,39.57
Caldeirão Grande (BA),13080,458,28.54
Camacan (BA),22578,585,38.6
Camaçari (BA),299579,785,381.42
Camamu (BA),30425,840,36.23
Campo Alegre de Lourdes (BA),30671,2915,10.52
Campo Formoso (BA),71377,7162,9.97
Canápolis (BA),10225,460,22.21
Canarana (BA),24206,580,41.75
Canavieiras (BA),32683,1334,24.49
Candeal (BA),7772,448,17.36
Candeias (BA),72382,252,287.45
Candiba (BA),13016,434,30.02
Cândido Sales (BA),25247,1170,21.58
Cansanção (BA),37439,1352,27.69
Canudos (BA),16105,3565,4.52
Capela do Alto Alegre (BA),10744,630,17.07
Capim Grosso (BA),33235,465,71.51
Caraíbas (BA),9940,806,12.34
Caravelas (BA),20586,2378,8.66
Cardeal da Silva (BA),8299,293,28.28
Carinhanha (BA),28869,2526,11.43
Casa Nova (BA),72085,9647,7.47
Castro Alves (BA),24712,714,34.62
Catolândia (BA),3434,703,4.89
Catu (BA),48195,427,112.88
Caturama (BA),8841,716,12.34
Central (BA),16348,567,28.83
Chorrochó (BA),10579,3005,3.52
Cícero Dantas (BA),30906,820,37.69
Cipó (BA),17230,168,102.36
Coaraci (BA),17351,275,63.21
Cocos (BA),19151,10141,1.89
Conceição da Feira (BA),20800,165,126.22
Conceição do Almeida (BA),15794,285,55.45
Conceição do Coité (BA),67825,1015,66.81
Conceição do Jacuípe (BA),35308,115,307.38
Conde (BA),23651,931,25.4
