Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Abaiara (CE),10038,181,55.51
Acarape (CE),14027,130,107.9
Acaraú (CE),64806,842,76.92
Acopiara (CE),44962,2254,19.95
Aiuaba (CE),14076,2439,5.77
Alcântaras (CE),11369,136,83.74
Altaneira (CE),6782,73,93.32
Alto Santo (CE),14155,1147,12.34
Amontada (CE),42156,1175,35.88
Antonina do Norte (CE),7245,260,27.9
Apuiarés (CE),12893,544,23.7
Aquiraz (CE),80243,480,167.09
Aracati (CE),75112,1227,61.21
Aracoiaba (CE),25553,644,39.68
Ararendá (CE),11096,342,32.42
Araripe (CE),19783,1097,18.03
Aratuba (CE),11224,120,93.72
Arneiroz (CE),7429,1068,6.95
Assaré (CE),21697,1155,18.78
Aurora (CE),23714,886,26.77
Baixio (CE),5704,146,39.19
Banabuiú (CE),17195,1081,15.91
Barbalha (CE),75033,608,123.38
Barreira (CE),22391,260,86.12
Barro (CE),19381,711,27.25
Barroquinha (CE),14567,386,37.78
Baturité (CE),35218,314,112.13
Beberibe (CE),53114,1597,33.26
Bela Cruz (CE),32775,842,38.92
Boa Viagem (CE),50411,2835,17.78
Brejo Santo (CE),51090,655,78.04
Camocim (CE),62326,1120,55.63
Campos Sales (CE),25135,1083,23.22
Canindé (CE),74174,3032,24.46
Capistrano (CE),17254,227,76.16
Caridade (CE),16377,926,17.68
Cariré (CE),17632,756,23.34
Caririaçu (CE),26320,634,41.5
Cariús (CE),17015,1036,16.42
Carnaubal (CE),17210,363,47.38
Cascavel (CE),72626,838,86.65
Catarina (CE),10243,488,20.98
Catunda (CE),10444,784,13.32
Caucaia (CE),355679,1223,290.77
Cedro (CE),22344,730,30.61
Chaval (CE),12462,237,52.53
Choró (CE),12113,815,14.86
Chorozinho (CE),20163,296,68.02
Coreaú (CE),20952,750,27.92
Crateús (CE),76390,2981,25.62
Crato (CE),131050,1138,115.14
Croatá (CE),17481,696,25.1
Cruz (CE),29628,336,88.2
Deputado Irapuan Pinheiro (CE),8932,471,18.96
Ereré (CE),6474,363,17.84
Eusébio (CE),74170,79,941.03
Farias Brito (CE),18217,531,34.34
Forquilha (CE),24173,569,42.5
Fortaleza (CE),2428678,312,7775.43
Fortim (CE),17294,285,60.68
Frecheirinha (CE),15615,210,74.26
General Sampaio (CE),6734,230,29.23
Graça (CE),13801,259,53.3
Granja (CE),53344,2663,20.03
Granjeiro (CE),4841,112,43.41
Groaíras (CE),10910,156,70.08
Guaiúba (CE),24217,256,94.58
Guaraciaba do Norte (CE),42053,625,67.33
Guaramiranga (CE),5654,91,62.26
Hidrolândia (CE),17855,927,19.27
Horizonte (CE),74754,161,465.59
Ibaretama (CE),11956,879,13.6
Ibiapina (CE),23965,414,57.87
