Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Abadia de Goiás (GO),19128,143,133.43
Abadiânia (GO),17228,1045,16.49
Acreúna (GO),21568,1567,13.77
Adelândia (GO),2297,115,19.91
Água Fria de Goiás (GO),4954,2024,2.45
Água Limpa (GO),1851,459,4.03
Águas Lindas de Goiás (GO),225671,192,1176.49
Alexânia (GO),27008,847,31.89
Aloândia (GO),1973,102,19.33
Alto Horizonte (GO),6072,500,12.14
Alto Paraíso de Goiás (GO),10298,2595,3.97
Alvorada do Norte (GO),8446,1268,6.66
Amaralina (GO),3268,1344,2.43
Americano do Brasil (GO),5259,134,39.29
Amorinópolis (GO),3007,407,7.39
Anápolis (GO),398817,936,426.24
Anhanguera (GO),924,56,16.63
Anicuns (GO),18503,976,18.96
Aparecida de Goiânia (GO),527550,280,1884.42
Aparecida do Rio Doce (GO),2907,603,4.82
Aporé (GO),4325,2899,1.49
Araçu (GO),3799,150,25.36
Aragarças (GO),18390,662,27.79
Aragoiânia (GO),11890,218,54.51
Araguapaz (GO),7153,2188,3.27
Arenópolis (GO),2946,1076,2.74
Aruanã (GO),8300,3055,2.72
Aurilândia (GO),3284,566,5.81
Avelinópolis (GO),2868,170,16.85
Baliza (GO),3351,1780,1.88
Barro Alto (GO),10371,1080,9.6
Bela Vista de Goiás (GO),34445,1274,27.04
Bom Jardim de Goiás (GO),7826,1901,4.12
Bom Jesus de Goiás (GO),23958,1406,17.04
Bonfinópolis (GO),10296,122,84.45
Bonópolis (GO),3299,1635,2.02
Brazabrantes (GO),3992,125,31.85
Britânia (GO),5695,1458,3.9
Buriti Alegre (GO),10495,902,11.64
Buriti de Goiás (GO),2732,203,13.49
Buritinópolis (GO),3145,246,12.78
Cabeceiras (GO),7560,1126,6.71
Cachoeira Alta (GO),11513,1657,6.95
Cachoeira de Goiás (GO),1405,424,3.31
Cachoeira Dourada (GO),7782,528,14.73
Caçu (GO),13774,2254,6.11
Caiapônia (GO),16507,8628,1.91
Caldas Novas (GO),98622,1609,61.31
Caldazinha (GO),4507,252,17.9
Campestre de Goiás (GO),3755,273,13.77
Campinaçu (GO),3708,1978,1.87
Campinorte (GO),12510,1065,11.75
Campo Alegre de Goiás (GO),7422,2450,3.03
Campo Limpo de Goiás (GO),8081,156,51.76
Campos Belos (GO),18108,735,24.63
Campos Verdes (GO),4005,443,9.04
Carmo do Rio Verde (GO),9710,420,23.13
Castelândia (GO),2985,299,9.98
Catalão (GO),114427,3826,29.9
Caturaí (GO),5184,205,25.28
Cavalcante (GO),9589,6949,1.38
Ceres (GO),22046,213,103.47
Cezarina (GO),8090,417,19.4
Chapadão do Céu (GO),12870,2184,5.89
Cidade Ocidental (GO),91767,390,235.31
Cocalzinho de Goiás (GO),25016,1785,14.01
Colinas do Sul (GO),4030,1708,2.36
Córrego do Ouro (GO),2454,458,5.36
Corumbá de Goiás (GO),10562,1065,9.92
Corumbaíba (GO),9164,1864,4.92
Cristalina (GO),62249,6154,10.12
Cristianópolis (GO),3504,222,15.81
Crixás (GO),17065,4673,3.65
Cromínia (GO),3883,365,10.64
Cumari (GO),2927,568,5.15
Damianópolis (GO),3770,418,9.03
Damolândia (GO),2724,86,31.65
Davinópolis (GO),1902,483,3.94
Diorama (GO),2062,685,3.01
Doverlândia (GO),6956,3228,2.16
Edealina (GO),4001,598,6.69
Edéia (GO),11747,1469,8
Estrela do Norte (GO),3205,301,10.64
Faina (GO),7070,1950,3.63
Fazenda Nova (GO),5877,1279,4.59
Firminópolis (GO),10419,422,24.67
Flores de Goiás (GO),13744,3695,3.72
Formosa (GO),115669,5804,19.93
Formoso (GO),4660,843,5.53
Gameleira de Goiás (GO),3456,588,5.87
Divinópolis de Goiás (GO),4457,829,5.38
Goianápolis (GO),13967,167,83.81
Goiandira (GO),4968,570,8.72
Goianésia (GO),73708,1547,47.64
Goiânia (GO),1437237,729,1970.72
Goianira (GO),71916,214,336.41
Goiás (GO),24071,3108,7.74
Goiatuba (GO),35649,2480,14.38
Gouvelândia (GO),4390,827,5.31
Guapó (GO),19545,514,38.01
Guaraíta (GO),2188,206,10.65
Guarani de Goiás (GO),4085,1221,3.35
Guarinos (GO),2161,593,3.64
Heitoraí (GO),3354,229,14.67
Hidrolândia (GO),27741,952,29.14
Hidrolina (GO),3545,584,6.07
Iaciara (GO),10584,1547,6.84
Inaciolândia (GO),5954,689,8.64
Indiara (GO),17061,955,17.86
Inhumas (GO),52204,615,84.9
Ipameri (GO),25548,4383,5.83
Ipiranga de Goiás (GO),2919,244,11.95
Iporá (GO),35684,1027,34.74
Israelândia (GO),2560,579,4.42
Itaberaí (GO),44734,1462,30.6
Itaguari (GO),4963,143,34.79
Itaguaru (GO),4904,241,20.35
Itajá (GO),4380,2083,2.1
Itapaci (GO),21087,953,22.13
Itapirapuã (GO),8002,2048,3.91
Itapuranga (GO),26113,1281,20.38
Itarumã (GO),6101,3437,1.77
Itauçu (GO),7736,383,20.19
Itumbiara (GO),107970,2447,44.12
Ivolândia (GO),2693,1261,2.14
Jandaia (GO),6272,863,7.27
Jaraguá (GO),45223,1849,24.46
Jataí (GO),105729,7179,14.73
Jaupaci (GO),2924,529,5.53
Jesúpolis (GO),2123,115,18.43
Joviânia (GO),7159,446,16.04
Jussara (GO),19625,4092,4.8
Lagoa Santa (GO),1390,463,3
Leopoldo de Bulhões (GO),8745,476,18.37
Luziânia (GO),208725,3962,52.68
Mairipotaba (GO),2561,468,5.47
Mambaí (GO),8124,858,9.47
Mara Rosa (GO),10700,1695,6.31
Marzagão (GO),2758,226,12.23
Matrinchã (GO),4042,1151,3.51
Maurilândia (GO),10304,390,26.42
Mimoso de Goiás (GO),2614,1381,1.89
Minaçu (GO),27075,2854,9.49
Mineiros (GO),70073,9043,7.75
Moiporá (GO),1685,452,3.73
Monte Alegre de Goiás (GO),6692,3120,2.14
Montes Claros de Goiás (GO),8756,2900,3.02
Montividiu (GO),12521,1870,6.7
Montividiu do Norte (GO),3779,1337,2.83
Morrinhos (GO),51351,2846,18.04
Morro Agudo de Goiás (GO),2456,282,8.7
Mossâmedes (GO),4654,685,6.8
Mozarlândia (GO),14750,1739,8.48
Mundo Novo (GO),6189,2142,2.89
Mutunópolis (GO),3564,955,3.73
Nazário (GO),8189,281,29.13
Nerópolis (GO),31932,205,155.98
Niquelândia (GO),34964,9846,3.55
Nova América (GO),2337,209,11.16
Nova Aurora (GO),2101,307,6.84
Nova Crixás (GO),12815,7309,1.75
Nova Glória (GO),8310,412,20.18
Nova Iguaçu de Goiás (GO),3010,626,4.81
Nova Roma (GO),3076,2137,1.44
Nova Veneza (GO),9481,122,77.49
Novo Brasil (GO),3527,649,5.43
Novo Gama (GO),103804,192,539.84
Novo Planalto (GO),3716,1254,2.96
Orizona (GO),16399,1971,8.32
Ouro Verde de Goiás (GO),4057,209,19.43
Ouvidor (GO),7200,411,17.5
Padre Bernardo (GO),34967,3143,11.13
Palestina de Goiás (GO),3132,1318,2.38
Palmeiras de Goiás (GO),31858,1537,20.72
Palmelo (GO),2259,60,37.77
Palminópolis (GO),3851,393,9.79
Panamá (GO),2455,432,5.68
Paranaiguara (GO),7607,1153,6.6
Paraúna (GO),10659,3787,2.81
Perolândia (GO),2964,1034,2.87
Petrolina de Goiás (GO),9573,530,18.05
Pilar de Goiás (GO),2328,906,2.57
Piracanjuba (GO),24883,2374,10.48
Piranhas (GO),11712,2045,5.73
Pirenópolis (GO),26690,2200,12.13
Pires do Rio (GO),32373,1078,30.04
Planaltina (GO),105031,2559,41.04
Pontalina (GO),18309,1434,12.77
Porangatu (GO),44317,4825,9.18
Porteirão (GO),4070,606,6.71
Portelândia (GO),3280,553,5.93
Posse (GO),34914,2077,16.81
Professor Jamil (GO),3649,356,10.24
Quirinópolis (GO),48447,3786,12.8
Rialma (GO),12165,268,45.34
Rianápolis (GO),3980,157,25.29
Rio Quente (GO),3864,245,15.79
Rio Verde (GO),225696,8374,26.95
Rubiataba (GO),19788,751,26.36
Sanclerlândia (GO),7918,509,15.54
Santa Bárbara de Goiás (GO),6149,141,43.62
Santa Cruz de Goiás (GO),3002,1109,2.71
Santa Fé de Goiás (GO),4951,1164,4.25
Santa Helena de Goiás (GO),38492,1142,33.7
Santa Isabel (GO),3538,813,4.35
Santa Rita do Araguaia (GO),5927,1357,4.37
Santa Rita do Novo Destino (GO),2689,970,2.77
Santa Rosa de Goiás (GO),2820,166,16.94
Santa Tereza de Goiás (GO),3293,790,4.17
Santa Terezinha de Goiás (GO),10645,1207,8.82
Santo Antônio da Barra (GO),4267,450,9.48
Santo Antônio de Goiás (GO),7386,135,54.7
Santo Antônio do Descoberto (GO),72134,944,76.42
São Domingos (GO),9711,3336,2.91
São Francisco de Goiás (GO),6378,417,15.31
São João d'Aliança (GO),13984,3334,4.19
São João da Paraúna (GO),1774,287,6.18
São Luís de Montes Belos (GO),33852,830,40.8
São Luiz do Norte (GO),4837,584,8.28
São Miguel do Araguaia (GO),21900,6150,3.56
São Miguel do Passa Quatro (GO),4464,537,8.31
São Patrício (GO),2143,173,12.4
São Simão (GO),17020,415,41.01
Senador Canedo (GO),155635,247,630.09
Serranópolis (GO),8027,5522,1.45
Silvânia (GO),22245,2350,9.47
Simolândia (GO),5742,347,16.56
Sítio d'Abadia (GO),2927,1612,1.82
Taquaral de Goiás (GO),4026,206,19.58
Teresina de Goiás (GO),2701,785,3.44
Terezópolis de Goiás (GO),7944,107,73.96
Três Ranchos (GO),2921,284,10.28
Trindade (GO),142431,713,199.85
Trombas (GO),3120,803,3.89
Turvânia (GO),4480,482,9.29
Turvelândia (GO),4985,936,5.33
Uirapuru (GO),2798,1154,2.42
Uruaçu (GO),42546,2142,19.86
Uruana (GO),13729,523,26.26
Urutaí (GO),3553,624,5.7
Valparaíso de Goiás (GO),198861,61,3234.14
Varjão (GO),3716,517,7.18
Vianópolis (GO),14956,954,15.68
Vicentinópolis (GO),8768,734,11.95
Vila Boa (GO),4215,1053,4
Vila Propício (GO),5815,2182,2.67
