Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Açailândia (MA),106550,5805,18.35
Afonso Cunha (MA),6144,371,16.55
Água Doce do Maranhão (MA),12142,442,27.45
Alcântara (MA),18466,1168,15.81
Aldeias Altas (MA),23286,1942,11.99
Altamira do Maranhão (MA),6447,524,12.29
Alto Alegre do Maranhão (MA),24048,393,61.23
Alto Alegre do Pindaré (MA),25710,1876,13.71
Alto Parnaíba (MA),11109,11127,1
Amapá do Maranhão (MA),7170,502,14.27
Amarante do Maranhão (MA),37091,7440,4.99
Anajatuba (MA),25322,940,26.92
Anapurus (MA),13793,609,22.65
Apicum-Açu (MA),17519,341,51.36
Araguanã (MA),11182,805,13.89
Araioses (MA),39052,1790,21.82
Arame (MA),25520,2976,8.58
Arari (MA),29472,1100,26.79
Axixá (MA),11790,160,73.48
Bacabal (MA),103711,1657,62.6
Bacabeira (MA),16966,543,31.25
Bacuri (MA),16290,850,19.15
Bacurituba (MA),5255,414,12.7
Balsas (MA),101616,13141,7.73
Barão de Grajaú (MA),18984,2209,8.59
Barra do Corda (MA),84532,5188,16.29
Barreirinhas (MA),65583,3046,21.53
Belágua (MA),8460,570,14.85
Bela Vista do Maranhão (MA),11750,148,79.42
Benedito Leite (MA),5469,1785,3.06
Bequimão (MA),19580,790,24.78
Bernardo do Mearim (MA),5840,247,23.63
Boa Vista do Gurupi (MA),7574,400,18.92
Bom Jardim (MA),33145,6588,5.03
Bom Jesus das Selvas (MA),28599,2677,10.68
Bom Lugar (MA),12212,445,27.43
Brejo (MA),34120,1073,31.79
Brejo de Areia (MA),9218,986,9.35
Buriti (MA),29685,1476,20.11
Buriti Bravo (MA),22455,1583,14.19
Buriticupu (MA),55507,2545,21.81
Buritirana (MA),12918,821,15.74
Cachoeira Grande (MA),9732,707,13.76
Cajapió (MA),10121,545,18.56
Cajari (MA),16412,662,24.79
Campestre do Maranhão (MA),12301,614,20.05
Cândido Mendes (MA),19932,1635,12.19
Cantanhede (MA),24303,773,31.44
Capinzal do Norte (MA),11374,590,19.27
Carolina (MA),24062,6268,3.84
Carutapera (MA),24238,1261,19.22
Caxias (MA),156970,5202,30.18
Cedral (MA),10208,285,35.79
Central do Maranhão (MA),7094,320,22.2
Centro do Guilherme (MA),12342,1168,10.57
Centro Novo do Maranhão (MA),16267,8401,1.94
Chapadinha (MA),81386,3247,25.06
Cidelândia (MA),12878,1463,8.8
Codó (MA),114269,4362,26.2
Coelho Neto (MA),41658,977,42.64
Colinas (MA),40306,1979,20.37
Conceição do Lago-Açu (MA),14915,726,20.55
Coroatá (MA),59566,2264,26.31
Cururupu (MA),31558,1258,25.09
Davinópolis (MA),14404,332,43.35
Dom Pedro (MA),23053,358,64.31
Duque Bacelar (MA),10223,317,32.2
Esperantinópolis (MA),18311,452,40.47
Estreito (MA),33294,2720,12.24
Feira Nova do Maranhão (MA),8048,1626,4.95
Fernando Falcão (MA),10873,5087,2.14
Formosa da Serra Negra (MA),17719,3691,4.8
Fortaleza dos Nogueiras (MA),12640,1853,6.82
Fortuna (MA),16976,835,20.33
Godofredo Viana (MA),10186,720,14.14
Gonçalves Dias (MA),17206,884,19.47
Governador Archer (MA),10228,446,22.94
Governador Edison Lobão (MA),18411,616,29.89
Governador Eugênio Barros (MA),13930,648,21.5
Governador Luiz Rocha (MA),7063,402,17.59
Governador Newton Bello (MA),10713,1144,9.36
Governador Nunes Freire (MA),23128,1037,22.3
Graça Aranha (MA),6023,271,22.19
Grajaú (MA),73872,8862,8.34
Guimarães (MA),10290,479,21.49
