Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Abadia dos Dourados (MG),6272,880,7.12
Abaeté (MG),22675,1817,12.48
Abre Campo (MG),13927,471,29.6
Acaiaca (MG),3909,102,38.37
Açucena (MG),8943,815,10.97
Água Boa (MG),12589,1320,9.53
Água Comprida (MG),2108,492,4.28
Aguanil (MG),4357,232,18.77
Águas Formosas (MG),18450,820,22.5
Águas Vermelhas (MG),14037,1257,11.17
Aimorés (MG),25269,1349,18.73
Aiuruoca (MG),6233,650,9.59
Alagoa (MG),2749,161,17.04
Albertina (MG),2945,58,50.77
Além Paraíba (MG),30717,510,60.2
Alfenas (MG),78970,850,92.86
Alfredo Vasconcelos (MG),6931,131,52.98
Almenara (MG),40364,2294,17.59
Alpercata (MG),6903,167,41.34
Alpinópolis (MG),18300,461,39.72
Alterosa (MG),13915,362,38.44
Alto Caparaó (MG),5795,104,55.89
Alto Rio Doce (MG),10891,518,21.02
Alvarenga (MG),3973,278,14.28
Alvinópolis (MG),15059,599,25.12
Alvorada de Minas (MG),4159,374,11.12
Amparo do Serra (MG),4541,136,33.34
Andradas (MG),40548,469,86.38
Cachoeira de Pajeú (MG),9110,696,13.1
Andrelândia (MG),11927,1005,11.86
Angelândia (MG),7718,185,41.67
Antônio Carlos (MG),11095,530,20.94
Antônio Dias (MG),9219,787,11.71
Antônio Prado de Minas (MG),1538,84,18.35
Araçaí (MG),2181,188,11.63
Aracitaba (MG),2049,107,19.22
Araçuaí (MG),34297,2236,15.34
Araguari (MG),117808,2730,43.16
Arantina (MG),2915,89,32.6
Araponga (MG),8048,304,26.49
Araporã (MG),8479,294,28.81
Arapuá (MG),2631,174,15.13
Araújos (MG),9199,246,37.47
Araxá (MG),111691,1164,95.95
Arceburgo (MG),9177,163,56.34
Arcos (MG),41417,510,81.23
Areado (MG),13881,283,49.03
Argirita (MG),2688,159,16.87
Aricanduva (MG),4719,243,19.39
Arinos (MG),17272,5279,3.27
Astolfo Dutra (MG),14138,159,88.98
Ataléia (MG),13736,1837,7.48
Augusto de Lima (MG),4538,1255,3.62
Baependi (MG),18366,751,24.47
Baldim (MG),7492,556,13.47
Bambuí (MG),23546,1456,16.17
Bandeira (MG),4741,484,9.8
Bandeira do Sul (MG),5943,47,125.74
Barão de Cocais (MG),30778,340,90.49
Barão de Monte Alto (MG),4964,198,25.03
Barbacena (MG),125317,759,165.07
Barra Longa (MG),5666,384,14.77
Barroso (MG),20080,82,244.67
Bela Vista de Minas (MG),10167,109,93.15
Belmiro Braga (MG),3244,393,8.25
Belo Horizonte (MG),2315560,331,6988.18
Belo Oriente (MG),23928,335,71.45
Belo Vale (MG),8627,366,23.58
Berilo (MG),9826,587,16.74
Bertópolis (MG),4451,428,10.4
Berizal (MG),4201,489,8.6
Betim (MG),411859,344,1197.05
Bias Fortes (MG),3361,284,11.85
Bicas (MG),13978,140,99.78
Biquinhas (MG),2383,459,5.19
Boa Esperança (MG),39848,861,46.3
Bocaina de Minas (MG),5348,504,10.62
Bocaiúva (MG),48032,3207,14.98
Bom Despacho (MG),51737,1214,42.63
Bom Jardim de Minas (MG),6783,412,16.46
Bom Jesus da Penha (MG),4474,208,21.47
Bom Jesus do Amparo (MG),5631,196,28.79
Bom Jesus do Galho (MG),14537,592,24.54
Bom Repouso (MG),12649,230,55.03
Bom Sucesso (MG),17151,705,24.33
Bonfim (MG),7434,302,24.63
Bonfinópolis de Minas (MG),5528,1850,2.99
Bonito de Minas (MG),10204,3936,2.59
Borda da Mata (MG),17404,301,57.8
Botelhos (MG),14828,334,44.38
Botumirim (MG),5790,1569,3.69
Brasilândia de Minas (MG),15020,2510,5.98
Brasília de Minas (MG),32025,1399,22.88
Brás Pires (MG),4260,223,19.07
Braúnas (MG),4441,378,11.74
Brazópolis (MG),14246,368,38.74
Brumadinho (MG),38915,639,60.86
Bueno Brandão (MG),10911,356,30.64
Buenópolis (MG),9150,1600,5.72
Bugre (MG),4041,161,25.02
Buritis (MG),24034,5225,4.6
Buritizeiro (MG),23910,7218,3.31
Cabeceira Grande (MG),6627,1033,6.41
Cabo Verde (MG),11410,368,30.99
Cachoeira da Prata (MG),3693,61,60.17
Cachoeira de Minas (MG),11884,304,39.06
Cachoeira Dourada (MG),2315,203,11.4
