Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Água Clara (MS),16741,7782,2.15
Alcinópolis (MS),4537,4398,1.03
Amambai (MS),39325,4194,9.38
Anastácio (MS),24107,2913,8.28
Anaurilândia (MS),7653,3416,2.24
Angélica (MS),10729,1284,8.36
Antônio João (MS),9303,1143,8.14
Aparecida do Taboado (MS),27674,2751,10.06
Aquidauana (MS),46803,17087,2.74
Aral Moreira (MS),10748,1654,6.5
Bandeirantes (MS),7940,3358,2.36
Bataguassu (MS),23031,2392,9.63
Batayporã (MS),10712,1827,5.86
Bela Vista (MS),21613,4899,4.41
Bodoquena (MS),8567,2592,3.31
Bonito (MS),23659,5373,4.4
Brasilândia (MS),11579,5804,2
Caarapó (MS),30612,2116,14.47
Camapuã (MS),13583,6238,2.18
Campo Grande (MS),897938,8083,111.09
Caracol (MS),5036,2943,1.71
Cassilândia (MS),20988,3658,5.74
Chapadão do Sul (MS),30993,3252,9.53
Corguinho (MS),4783,2640,1.81
Coronel Sapucaia (MS),14161,1024,13.83
Corumbá (MS),96268,64432,1.49
Costa Rica (MS),26037,4159,6.26
Coxim (MS),32151,6391,5.03
Deodápolis (MS),13663,829,16.49
Dois Irmãos do Buriti (MS),11100,2432,4.56
Douradina (MS),5578,280,19.89
Dourados (MS),243368,4062,59.91
Eldorado (MS),11386,1013,11.24
Fátima do Sul (MS),20609,315,65.36
Figueirão (MS),3539,4880,0.73
Glória de Dourados (MS),10444,493,21.17
Guia Lopes da Laguna (MS),9939,1225,8.11
Iguatemi (MS),13796,2957,4.66
Inocência (MS),8404,5761,1.46
Itaporã (MS),24137,1343,17.98
Itaquiraí (MS),19433,2064,9.42
Ivinhema (MS),27821,2003,13.89
Japorã (MS),8148,417,19.56
Jaraguari (MS),7139,2913,2.45
Jardim (MS),23981,2126,11.28
Jateí (MS),3586,1933,1.85
Juti (MS),6729,1569,4.29
Ladário (MS),21522,354,60.75
Laguna Carapã (MS),6799,1726,3.94
Maracaju (MS),45047,5397,8.35
Miranda (MS),25536,5471,4.67
Mundo Novo (MS),19193,478,40.12
Naviraí (MS),50457,3190,15.82
Nioaque (MS),13220,3909,3.38
Nova Alvorada do Sul (MS),21822,4025,5.42
Nova Andradina (MS),48563,4771,10.18
Novo Horizonte do Sul (MS),4721,849,5.56
Paraíso das Águas (MS),5510,5061,1.09
Paranaíba (MS),40957,5405,7.58
Paranhos (MS),12921,1307,9.89
Pedro Gomes (MS),6941,3554,1.95
Ponta Porã (MS),92017,5359,17.17
Porto Murtinho (MS),12859,17505,0.73
Ribas do Rio Pardo (MS),23150,17315,1.34
Rio Brilhante (MS),37601,3984,9.44
Rio Negro (MS),4841,1829,2.65
Rio Verde de Mato Grosso (MS),19818,8174,2.42
Rochedo (MS),5199,1310,3.97
Santa Rita do Pardo (MS),7027,6142,1.14
São Gabriel do Oeste (MS),29579,3850,7.68
Sete Quedas (MS),10994,839,13.1
Selvíria (MS),8142,3255,2.5
Sidrolândia (MS),47118,5266,8.95
Sonora (MS),14516,4186,3.47
Tacuru (MS),10808,1784,6.06
Taquarussu (MS),3625,1052,3.45
Terenos (MS),17638,2846,6.2
Três Lagoas (MS),132152,10217,12.93
Vicentina (MS),6336,312,20.28
