Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Acorizal (MT),5014,851,5.89
Água Boa (MT),29219,7549,3.87
Alta Floresta (MT),58613,8955,6.54
Alto Araguaia (MT),17193,5402,3.18
Alto Boa Vista (MT),5639,2248,2.51
Alto Garças (MT),13052,3858,3.38
Alto Paraguai (MT),8009,1847,4.34
Alto Taquari (MT),10904,1437,7.59
Apiacás (MT),8590,20489,0.42
Araguaiana (MT),3795,6381,0.59
Araguainha (MT),1010,675,1.5
Araputanga (MT),14786,1640,9.02
Arenápolis (MT),10576,417,25.34
Aripuanã (MT),24626,24678,1
Barão de Melgaço (MT),7253,11375,0.64
Barra do Bugres (MT),29403,5977,4.92
Barra do Garças (MT),69210,8363,8.28
Bom Jesus do Araguaia (MT),7280,4267,1.71
Brasnorte (MT),17004,15968,1.06
Cáceres (MT),89478,24496,3.65
Campinápolis (MT),15347,5979,2.57
Campo Novo do Parecis (MT),45899,9429,4.87
Campo Verde (MT),44585,4771,9.35
Campos de Júlio (MT),8822,6793,1.3
Canabrava do Norte (MT),4485,3449,1.3
Canarana (MT),25843,10855,2.38
Carlinda (MT),10332,2422,4.27
Castanheira (MT),7506,3713,2.02
Chapada dos Guimarães (MT),18990,6603,2.88
Cláudia (MT),9593,3844,2.5
Cocalinho (MT),6220,16563,0.38
Colíder (MT),31370,3112,10.08
Colniza (MT),25756,27960,0.92
Comodoro (MT),18238,21485,0.85
Confresa (MT),35075,5802,6.05
Conquista D'Oeste (MT),3760,2685,1.4
Cotriguaçu (MT),11011,9470,1.16
Cuiabá (MT),650912,4327,150.41
Curvelândia (MT),4903,357,13.73
Denise (MT),7014,1273,5.51
Diamantino (MT),21941,8263,2.66
Dom Aquino (MT),7872,2184,3.61
Feliz Natal (MT),10521,11662,0.9
Figueirópolis D'Oeste (MT),3187,891,3.58
Gaúcha do Norte (MT),8646,16908,0.51
General Carneiro (MT),6037,4515,1.34
Glória D'Oeste (MT),2905,833,3.49
Guarantã do Norte (MT),31024,4725,6.57
Guiratinga (MT),10963,5044,2.17
Indiavaí (MT),2213,592,3.74
Ipiranga do Norte (MT),7815,3422,2.28
Itanhangá (MT),7539,2910,2.59
Itaúba (MT),5020,4522,1.11
Itiquira (MT),12236,8699,1.41
Jaciara (MT),28569,2430,11.76
Jangada (MT),7426,1114,6.66
Jauru (MT),8367,1345,6.22
Juara (MT),34906,22633,1.54
Juína (MT),45869,26397,1.74
Juruena (MT),10213,3208,3.18
Juscimeira (MT),11480,2291,5.01
Lambari D'Oeste (MT),4790,1811,2.65
Lucas do Rio Verde (MT),83798,3675,22.8
Luciara (MT),2509,4283,0.59
Vila Bela da Santíssima Trindade (MT),16774,13485,1.24
Marcelândia (MT),11397,12285,0.93
Matupá (MT),20091,5228,3.84
Mirassol d'Oeste (MT),26785,1085,24.68
Nobres (MT),15492,3909,3.96
Nortelândia (MT),5956,1337,4.46
Nossa Senhora do Livramento (MT),12940,5537,2.34
Nova Bandeirantes (MT),13635,9557,1.43
Nova Nazaré (MT),4200,4035,1.04
Nova Lacerda (MT),6670,4780,1.4
Nova Santa Helena (MT),4239,2386,1.78
Nova Brasilândia (MT),3932,3290,1.2
Nova Canaã do Norte (MT),11707,5953,1.97
Nova Mutum (MT),55648,9537,5.84
Nova Olímpia (MT),16352,1327,12.32
Nova Ubiratã (MT),11498,12461,0.92
Nova Xavantina (MT),24345,5492,4.43
Novo Mundo (MT),6520,5801,1.12
Novo Horizonte do Norte (MT),3349,920,3.64
Novo São Joaquim (MT),6919,5226,1.32
Paranaíta (MT),11671,4814,2.42
Paranatinga (MT),26423,24167,1.09
Novo Santo Antônio (MT),2015,4395,0.46
Pedra Preta (MT),18066,3842,4.7
Peixoto de Azevedo (MT),32714,14434,2.27
Planalto da Serra (MT),3166,2438,1.3
Poconé (MT),31217,17157,1.82
Pontal do Araguaia (MT),6932,2742,2.53
Ponte Branca (MT),2008,701,2.86
Pontes e Lacerda (MT),52018,8545,6.09
Porto Alegre do Norte (MT),13865,3972,3.49
Porto dos Gaúchos (MT),5593,6847,0.82
Porto Esperidião (MT),10204,5835,1.75
Porto Estrela (MT),3224,2045,1.58
Poxoréu (MT),23283,6915,3.37
Primavera do Leste (MT),85146,5470,15.56
Querência (MT),26769,17800,1.5
São José dos Quatro Marcos (MT),17849,1283,13.91
Reserva do Cabaçal (MT),2122,1332,1.59
Ribeirão Cascalheira (MT),9896,11355,0.87
Ribeirãozinho (MT),2593,625,4.15
Rio Branco (MT),4535,539,8.41
Santa Carmem (MT),5374,3812,1.41
Santo Afonso (MT),2519,1166,2.16
São José do Povo (MT),2875,490,5.87
São José do Rio Claro (MT),14901,4525,3.29
São José do Xingu (MT),5965,7466,0.8
São Pedro da Cipa (MT),4191,344,12.17
Rondolândia (MT),3505,12658,0.28
Rondonópolis (MT),244897,4824,50.77
Rosário Oeste (MT),15453,7339,2.11
Santa Cruz do Xingu (MT),2661,5623,0.47
Salto do Céu (MT),3679,1753,2.1
Santa Rita do Trivelato (MT),3276,4747,0.69
Santa Terezinha (MT),7596,6466,1.17
Santo Antônio do Leste (MT),4099,3404,1.2
Santo Antônio de Leverger (MT),15246,9469,1.61
São Félix do Araguaia (MT),13612,16682,0.82
Sapezal (MT),28944,13615,2.13
Serra Nova Dourada (MT),1800,1491,1.21
Sinop (MT),196067,3991,49.13
Sorriso (MT),110635,9294,11.9
Tabaporã (MT),9812,8439,1.16
Tangará da Serra (MT),106434,11637,9.15
Tapurah (MT),14370,4493,3.2
Terra Nova do Norte (MT),10616,2400,4.42
Tesouro (MT),3025,4244,0.71
Torixoréu (MT),4164,2398,1.74
União do Sul (MT),3838,4591,0.84
Vale de São Domingos (MT),2904,1902,1.53
Várzea Grande (MT),299472,724,413.48
Vera (MT),12800,3058,4.19
Vila Rica (MT),19888,7436,2.67
Nova Guarita (MT),4588,1122,4.09
Nova Marilândia (MT),3529,1906,1.85
Nova Maringá (MT),5846,11553,0.51
Nova Monte Verde (MT),8313,5139,1.62
