Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Abaetetuba (PA),158188,1611,98.21
Abel Figueiredo (PA),7030,614,11.45
Acará (PA),57385,4344,13.21
Afuá (PA),37765,8338,4.53
Água Azul do Norte (PA),18080,7114,2.54
Alenquer (PA),69377,23645,2.93
Almeirim (PA),34280,72955,0.47
Altamira (PA),126279,159533,0.79
Anajás (PA),28011,6914,4.05
Ananindeua (PA),478778,191,2512.2
Anapu (PA),31850,11895,2.68
Augusto Corrêa (PA),44573,1100,40.53
Aurora do Pará (PA),23632,1812,13.04
Aveiro (PA),18290,17074,1.07
Bagre (PA),34711,4397,7.89
Baião (PA),51641,3760,13.73
Bannach (PA),4031,2957,1.36
Barcarena (PA),126650,1310,96.65
Belém (PA),1303389,1059,1230.23
Belterra (PA),18099,4398,4.11
Benevides (PA),63567,188,338.44
Bom Jesus do Tocantins (PA),18005,2817,6.39
Bonito (PA),12622,587,21.5
Bragança (PA),123082,2125,57.93
Brasil Novo (PA),24718,6363,3.88
Brejo Grande do Araguaia (PA),6783,1288,5.26
Breu Branco (PA),45712,3942,11.6
Breves (PA),106968,9567,11.18
Bujaru (PA),24383,995,24.51
Cachoeira do Piriá (PA),19630,2420,8.11
Cachoeira do Arari (PA),23981,3100,7.74
Cametá (PA),134184,3081,43.55
Canaã dos Carajás (PA),77079,3147,24.49
Capanema (PA),70394,621,113.27
Capitão Poço (PA),56332,2901,19.42
Castanhal (PA),192262,1029,186.79
Chaves (PA),20757,12535,1.66
Colares (PA),12868,384,33.5
Conceição do Araguaia (PA),44617,5829,7.65
Concórdia do Pará (PA),26881,701,38.37
Cumaru do Norte (PA),14036,17085,0.82
Curionópolis (PA),19950,2369,8.42
Curralinho (PA),33903,3617,9.37
Curuá (PA),14117,1431,9.86
Curuçá (PA),40342,676,59.65
Dom Eliseu (PA),58484,5269,11.1
Eldorado do Carajás (PA),28192,2957,9.53
Faro (PA),8728,11772,0.74
Floresta do Araguaia (PA),17898,3444,5.2
Garrafão do Norte (PA),24703,1608,15.36
Goianésia do Pará (PA),26280,7024,3.74
Gurupá (PA),31788,8570,3.71
Igarapé-Açu (PA),35797,786,45.54
Igarapé-Miri (PA),64831,1997,32.47
Inhangapi (PA),10325,473,21.85
Ipixuna do Pará (PA),30329,5216,5.82
Irituia (PA),30955,1385,22.35
Itaituba (PA),123312,62042,1.99
Itupiranga (PA),49752,7880,6.31
Jacareacanga (PA),24042,53305,0.45
Jacundá (PA),37707,2008,18.78
Juruti (PA),50881,8305,6.13
Limoeiro do Ajuru (PA),29569,1490,19.84
Mãe do Rio (PA),34353,469,73.19
Magalhães Barata (PA),8115,324,25.05
Marabá (PA),266536,15128,17.62
Maracanã (PA),25812,808,31.96
Marapanim (PA),26471,805,32.9
Marituba (PA),110515,103,1070.74
Medicilândia (PA),27077,8273,3.27
Melgaço (PA),27876,6774,4.12
Mocajuba (PA),27198,871,31.22
Moju (PA),83039,9094,9.13
Mojuí dos Campos (PA),23501,4988,4.71
Monte Alegre (PA),60016,18153,3.31
Muaná (PA),45368,3763,12.06
Nova Esperança do Piriá (PA),20478,2808,7.29
Nova Ipixuna (PA),13955,1564,8.92
Nova Timboteua (PA),12806,490,26.14
Novo Progresso (PA),33638,38162,0.88
Novo Repartimento (PA),60732,15399,3.94
Óbidos (PA),52229,28011,1.86
Oeiras do Pará (PA),33844,3852,8.79
Oriximiná (PA),68294,107614,0.63
Ourém (PA),17855,562,31.79
Ourilândia do Norte (PA),32467,14411,2.25
Pacajá (PA),41097,11832,3.47
Palestina do Pará (PA),6885,984,6.99
Paragominas (PA),105538,19343,5.46
Parauapebas (PA),266424,6886,38.69
Pau D'Arco (PA),6931,1671,4.15
Peixe-Boi (PA),8285,450,18.4
Piçarra (PA),12832,3313,3.87
Placas (PA),18668,7173,2.6
Ponta de Pedras (PA),24984,3364,7.43
Portel (PA),62445,25385,2.46
Porto de Moz (PA),40597,17423,2.33
Prainha (PA),35577,14787,2.41
Primavera (PA),10677,259,41.29
Quatipuru (PA),11524,303,38.04
Redenção (PA),85597,3824,22.39
Rio Maria (PA),18384,4115,4.47
Rondon do Pará (PA),53143,8246,6.44
Rurópolis (PA),35769,7021,5.09
Salinópolis (PA),44772,226,198
Salvaterra (PA),24129,919,26.27
Santa Bárbara do Pará (PA),21089,278,75.82
Santa Cruz do Arari (PA),7445,1077,6.91
Santa Izabel do Pará (PA),73019,718,101.75
Santa Luzia do Pará (PA),20370,1347,15.13
Santa Maria das Barreiras (PA),16548,10330,1.6
Santa Maria do Pará (PA),24624,458,53.8
Santana do Araguaia (PA),32413,11591,2.8
Santarém (PA),331937,17898,18.55
Santarém Novo (PA),6116,230,26.65
Santo Antônio do Tauá (PA),27461,538,51.08
São Caetano de Odivelas (PA),16666,464,35.91
São Domingos do Araguaia (PA),21092,1392,15.15
São Domingos do Capim (PA),30599,1687,18.14
São Félix do Xingu (PA),65418,84213,0.78
São Francisco do Pará (PA),14894,479,31.07
São Geraldo do Araguaia (PA),24255,3168,7.66
São João da Ponta (PA),4430,196,22.61
São João de Pirabas (PA),20689,668,30.95
São João do Araguaia (PA),13465,1280,10.52
São Miguel do Guamá (PA),52895,1095,48.33
São Sebastião da Boa Vista (PA),25643,1632,15.71
Sapucaia (PA),5847,1298,4.5
Senador José Porfírio (PA),22576,14420,1.57
Soure (PA),24204,2857,8.47
Tailândia (PA),72493,4430,16.36
Terra Alta (PA),10400,205,50.74
Terra Santa (PA),18782,1896,9.91
Tomé-Açu (PA),67305,5145,13.08
Tracuateua (PA),28595,868,32.94
Trairão (PA),15242,11991,1.27
Tucumã (PA),39550,2513,15.74
Tucuruí (PA),91306,2084,43.81
Ulianópolis (PA),37972,5088,7.46
Uruará (PA),43558,10791,4.04
Vigia (PA),50832,402,126.58
Viseu (PA),58692,4973,11.8
Vitória do Xingu (PA),15599,3090,5.05
Xinguara (PA),52893,3779,14
