Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Água Branca (PB),9335,242,38.63
Aguiar (PB),5003,352,14.23
Alagoa Grande (PB),26062,322,80.92
Alagoa Nova (PB),21013,128,163.87
Alagoinha (PB),13725,111,123.25
Alcantil (PB),5578,310,18
Algodão de Jandaíra (PB),2953,223,13.26
Alhandra (PB),21713,184,118.02
São João do Rio do Peixe (PB),17964,476,37.72
Amparo (PB),2234,122,18.3
Aparecida (PB),7960,291,27.31
Araçagi (PB),16646,232,71.7
Arara (PB),12212,91,133.75
Araruna (PB),17189,247,69.67
Areia (PB),22633,269,84.1
Areia de Baraúnas (PB),2005,114,17.58
Areial (PB),7128,36,199.05
Aroeiras (PB),18705,376,49.73
Assunção (PB),4152,132,31.42
Baía da Traição (PB),9224,103,89.77
Bananeiras (PB),23134,256,90.49
Baraúna (PB),4762,50,95.18
Barra de Santana (PB),8059,375,21.48
Barra de Santa Rosa (PB),12904,781,16.52
Barra de São Miguel (PB),5906,610,9.69
Bayeux (PB),82742,28,2986.54
Belém (PB),16401,100,164.65
Belém do Brejo do Cruz (PB),6268,602,10.42
Bernardino Batista (PB),3504,57,60.99
Boa Ventura (PB),5207,169,30.87
Boa Vista (PB),6377,469,13.6
Bom Jesus (PB),2286,47,48.26
Bom Sucesso (PB),4661,186,25.05
Bonito de Santa Fé (PB),10252,227,45.2
Boqueirão (PB),17598,373,47.17
Igaracy (PB),5648,197,28.66
Borborema (PB),4214,26,161.41
Brejo do Cruz (PB),13613,401,33.92
Brejo dos Santos (PB),5742,94,61.18
Caaporã (PB),21193,151,140.33
Cabaceiras (PB),5335,469,11.37
Cabedelo (PB),66519,30,2226.73
Cachoeira dos Índios (PB),9151,193,47.36
Cacimba de Areia (PB),3291,213,15.45
Cacimba de Dentro (PB),16064,165,97.32
Cacimbas (PB),7223,124,58.22
Caiçara (PB),6602,124,53.38
Cajazeiras (PB),63239,563,112.38
Cajazeirinhas (PB),2740,283,9.69
Caldas Brandão (PB),5753,56,102.8
Camalaú (PB),6085,542,11.23
Campina Grande (PB),419379,592,708.82
Capim (PB),6970,80,87.26
Caraúbas (PB),3944,487,8.1
Carrapateira (PB),2312,59,39.14
Casserengue (PB),6889,203,33.98
Catingueira (PB),4491,527,8.51
Catolé do Rocha (PB),30661,552,55.57
Caturité (PB),5254,118,44.59
Conceição (PB),18260,581,31.45
Condado (PB),6451,265,24.3
Conde (PB),27605,171,161.18
Congo (PB),4933,325,15.19
Coremas (PB),14683,372,39.47
Coxixola (PB),1824,174,10.49
Cruz do Espírito Santo (PB),17095,193,88.8
Cubati (PB),7580,164,46.34
Cuité (PB),19719,734,26.87
Cuitegi (PB),6730,42,159.89
Cuité de Mamanguape (PB),6251,108,58.05
Curral de Cima (PB),5254,86,60.79
Curral Velho (PB),2292,218,10.53
Damião (PB),4982,186,26.76
Desterro (PB),8067,182,44.32
Vista Serrana (PB),3641,60,60.29
Diamante (PB),6299,272,23.18
Dona Inês (PB),10380,174,59.78
Duas Estradas (PB),3327,27,123.17
Emas (PB),3011,248,12.13
Esperança (PB),31231,158,197.85
Fagundes (PB),11049,185,59.7
Frei Martinho (PB),2846,239,11.93
Gado Bravo (PB),8179,192,42.51
Guarabira (PB),57484,162,353.99
Gurinhém (PB),13766,340,40.44
Gurjão (PB),3242,345,9.41
Ibiara (PB),5631,240,23.43
Imaculada (PB),10392,318,32.7
Ingá (PB),17692,262,67.48
Itabaiana (PB),23182,211,110.09
Itaporanga (PB),23940,460,52.02
Itapororoca (PB),18382,146,126.07
Itatuba (PB),10499,252,41.7
Jacaraú (PB),14302,257,55.68
Jericó (PB),7516,177,42.38
João Pessoa (PB),833932,210,3970.27
Juarez Távora (PB),7796,76,103.02
Juazeirinho (PB),17007,475,35.83
Junco do Seridó (PB),6793,180,37.65
Juripiranga (PB),10012,79,127.21
Juru (PB),9234,395,23.37
Lagoa (PB),4415,177,24.99
Lagoa de Dentro (PB),7819,84,93.63
Lagoa Seca (PB),27730,108,256.24
Lastro (PB),3162,107,29.44
Livramento (PB),6877,267,25.76
Logradouro (PB),4797,43,111.88
Lucena (PB),12560,94,133.9
Mãe d'Água (PB),3583,229,15.67
Malta (PB),6046,172,35.15
Mamanguape (PB),44599,337,132.17
Manaíra (PB),10434,352,29.64
Marcação (PB),8999,123,73.36
Mari (PB),21512,155,138.55
Marizópolis (PB),6705,70,95.85
Massaranduba (PB),14139,209,67.52
Mataraca (PB),8244,182,45.19
Matinhas (PB),4571,37,125.16
Mato Grosso (PB),2543,85,29.82
Maturéia (PB),6433,83,77.46
Mogeiro (PB),13899,214,64.92
Montadas (PB),5812,32,182.81
Monte Horebe (PB),4338,117,37.12
Monteiro (PB),32277,993,32.52
Mulungu (PB),8791,187,46.95
Natuba (PB),8945,202,44.24
Nazarezinho (PB),7203,193,37.28
Nova Floresta (PB),9724,48,204.41
Nova Olinda (PB),5787,82,70.99
Nova Palmeira (PB),4259,315,13.53
Olho d'Água (PB),6060,580,10.44
Olivedos (PB),3580,315,11.38
Ouro Velho (PB),2918,128,22.78
Parari (PB),1720,208,8.28
Passagem (PB),2463,123,19.96
Patos (PB),103165,473,218.16
Paulista (PB),11834,577,20.5
Pedra Branca (PB),3739,117,31.99
Pedra Lavrada (PB),6859,336,20.44
Pedras de Fogo (PB),29662,407,72.93
Piancó (PB),16441,577,28.49
Picuí (PB),18333,668,27.46
Pilar (PB),12311,103,119.17
Pilões (PB),6815,66,103.93
Pilõezinhos (PB),5329,41,130.27
Pirpirituba (PB),9340,81,115.78
Pitimbu (PB),16751,136,123.35
Pocinhos (PB),17469,624,28
Poço Dantas (PB),3830,98,39.18
Poço de José de Moura (PB),4006,95,42.33
Pombal (PB),32473,894,36.32
Prata (PB),3915,202,19.4
Princesa Isabel (PB),21114,369,57.29
Puxinanã (PB),14277,71,200.75
Queimadas (PB),47658,403,118.33
Quixaba (PB),1743,147,11.84
Remígio (PB),17885,183,97.49
Pedro Régis (PB),5766,74,77.69
Riachão (PB),2927,85,34.32
Riachão do Bacamarte (PB),4690,40,116.43
Riachão do Poço (PB),4738,40,117.1
Riacho de Santo Antônio (PB),1955,94,20.87
Riacho dos Cavalos (PB),8493,263,32.35
Rio Tinto (PB),24581,465,52.84
Salgadinho (PB),3355,179,18.74
Salgado de São Félix (PB),11505,204,56.38
Santa Cecília (PB),7670,218,35.25
Santa Cruz (PB),5947,218,27.32
Santa Helena (PB),5865,211,27.78
Santa Inês (PB),3227,328,9.85
Santa Luzia (PB),14959,441,33.94
Santana de Mangueira (PB),5010,405,12.37
Santana dos Garrotes (PB),6569,361,18.17
Joca Claudino (PB),2539,72,35.36
Santa Rita (PB),149910,719,208.62
Santa Teresinha (PB),4402,359,12.25
Santo André (PB),2622,198,13.26
São Bento (PB),32235,246,131.12
São Bentinho (PB),4327,200,21.67
São Domingos do Cariri (PB),2585,234,11.05
São Domingos (PB),2595,170,15.23
São Francisco (PB),3137,91,34.58
São João do Cariri (PB),4226,613,6.89
São João do Tigre (PB),4263,813,5.25
São José da Lagoa Tapada (PB),7126,334,21.35
São José de Caiana (PB),5034,183,27.47
São José de Espinharas (PB),4083,727,5.62
São José dos Ramos (PB),5891,101,58.53
São José de Piranhas (PB),19067,687,27.76
São José de Princesa (PB),3416,158,21.61
São José do Bonfim (PB),3242,154,21.1
São José do Brejo do Cruz (PB),1699,254,6.69
São José do Sabugi (PB),4138,214,19.38
São José dos Cordeiros (PB),3411,377,9.06
São Mamede (PB),7470,533,14
São Miguel de Taipu (PB),7066,92,76.46
São Sebastião de Lagoa de Roça (PB),11040,46,238.07
São Sebastião do Umbuzeiro (PB),3279,464,7.06
Sapé (PB),51306,314,163.56
São Vicente do Seridó (PB),10291,263,39.17
Serra Branca (PB),13614,698,19.5
Serra da Raiz (PB),3094,32,97.67
Serra Grande (PB),2942,64,45.72
Serra Redonda (PB),6828,55,123.7
Serraria (PB),4885,65,75.08
Sertãozinho (PB),5054,32,155.72
Sobrado (PB),8236,62,132.94
