Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Abreu e Lima (PE),98462,126,779.07
Afogados da Ingazeira (PE),40241,378,106.54
Afrânio (PE),18674,1491,12.53
Agrestina (PE),23779,200,118.68
Água Preta (PE),26461,532,49.74
Águas Belas (PE),41548,886,46.89
Alagoinha (PE),13542,214,63.2
Aliança (PE),35741,273,131.03
Altinho (PE),20674,450,45.92
Amaraji (PE),18205,233,78.05
Angelim (PE),10241,118,86.72
Araçoiaba (PE),19243,96,199.7
Araripina (PE),85088,2037,41.76
Arcoverde (PE),77586,344,225.59
Barra de Guabiraba (PE),12263,119,103.36
Barreiros (PE),40121,233,171.87
Belém de Maria (PE),10378,73,141.88
Belém do São Francisco (PE),18301,1831,10
Belo Jardim (PE),79507,647,122.8
Betânia (PE),11232,1244,9.03
Bezerros (PE),61686,493,125.22
Bodocó (PE),34478,1622,21.26
Bom Conselho (PE),44260,792,55.87
Bom Jardim (PE),37629,224,167.91
Bonito (PE),37476,393,95.31
Brejão (PE),9079,160,56.82
Brejinho (PE),7720,106,72.8
Brejo da Madre de Deus (PE),48650,762,63.82
Buenos Aires (PE),12808,93,137.44
Buíque (PE),52097,1337,38.98
Cabo de Santo Agostinho (PE),203216,445,456.27
Cabrobó (PE),30294,1659,18.26
Cachoeirinha (PE),19899,179,111.01
Caetés (PE),28827,295,97.74
Calçado (PE),11093,122,90.97
Calumbi (PE),5228,179,29.16
Camaragibe (PE),147771,51,2879.35
Camocim de São Félix (PE),17419,72,241.9
Camutanga (PE),7750,39,198.13
Canhotinho (PE),24329,423,57.49
Capoeiras (PE),18341,337,54.4
Carnaíba (PE),18644,428,43.58
Carnaubeira da Penha (PE),12239,1005,12.18
Carpina (PE),79293,147,539.35
Caruaru (PE),378052,923,409.52
Casinhas (PE),12967,116,111.91
Catende (PE),32156,209,154.16
Cedro (PE),10518,149,70.71
Chã de Alegria (PE),12980,49,263.14
Chã Grande (PE),20546,85,242.32
Condado (PE),24587,90,274.27
Correntes (PE),17131,318,53.91
Cortês (PE),10198,103,99.15
Cumaru (PE),15920,292,54.48
Cupira (PE),23518,95,247.15
Custódia (PE),37699,1404,26.85
Dormentes (PE),17188,1539,11.17
Escada (PE),59836,343,174.66
Exu (PE),31843,1337,23.82
Feira Nova (PE),21427,108,198.9
