Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Acauã (PI),6420,1281,5.01
Agricolândia (PI),4940,112,43.95
Água Branca (PI),17573,97,181.46
Alagoinha do Piauí (PI),6819,536,12.72
Alegrete do Piauí (PI),4634,244,19.01
Alto Longá (PI),13479,1743,7.73
Altos (PI),47416,957,49.53
Alvorada do Gurguéia (PI),5322,2132,2.5
Amarante (PI),17235,1152,14.96
Angical do Piauí (PI),6827,222,30.75
Anísio de Abreu (PI),9407,338,27.84
Antônio Almeida (PI),3152,645,4.89
Aroazes (PI),5369,821,6.54
Aroeiras do Itaim (PI),2690,316,8.51
Arraial (PI),4520,683,6.62
Assunção do Piauí (PI),7452,1691,4.41
Avelino Lopes (PI),10866,1220,8.9
Baixa Grande do Ribeiro (PI),13272,7809,1.7
Barra D'Alcântara (PI),3995,264,15.14
Barras (PI),47938,1723,27.83
Barreiras do Piauí (PI),3264,2169,1.51
Barro Duro (PI),6640,159,41.65
Batalha (PI),26300,1589,16.55
Bela Vista do Piauí (PI),4091,499,8.2
Belém do Piauí (PI),3423,243,14.07
Beneditinos (PI),9873,937,10.54
Bertolínia (PI),5562,1216,4.57
Betânia do Piauí (PI),6220,580,10.73
Boa Hora (PI),6902,337,20.48
Bocaina (PI),4078,262,15.59
Bom Jesus (PI),28799,5471,5.26
Bom Princípio do Piauí (PI),5636,523,10.77
Bonfim do Piauí (PI),5913,289,20.45
Boqueirão do Piauí (PI),6545,270,24.26
Brasileira (PI),8436,881,9.58
Brejo do Piauí (PI),3904,2267,1.72
Buriti dos Lopes (PI),19654,691,28.46
Buriti dos Montes (PI),7434,2437,3.05
Cabeceiras do Piauí (PI),10212,609,16.78
Cajazeiras do Piauí (PI),3108,514,6.05
Cajueiro da Praia (PI),7957,271,29.34
Caldeirão Grande do Piauí (PI),5503,467,11.78
Campinas do Piauí (PI),4937,784,6.3
Campo Alegre do Fidalgo (PI),4616,658,7.02
Campo Grande do Piauí (PI),6020,312,19.31
Campo Largo do Piauí (PI),7419,478,15.52
Campo Maior (PI),45793,1681,27.24
Canavieira (PI),3414,2165,1.58
Canto do Buriti (PI),19365,4326,4.48
Capitão de Campos (PI),11100,572,19.42
Capitão Gervásio Oliveira (PI),3974,1133,3.51
Caracol (PI),10318,1611,6.4
Caraúbas do Piauí (PI),5630,471,11.95
Caridade do Piauí (PI),5033,499,10.09
Castelo do Piauí (PI),19288,2379,8.11
Caxingó (PI),5496,491,11.19
Cocal (PI),28212,1294,21.8
Cocal de Telha (PI),4911,310,15.83
Cocal dos Alves (PI),6386,325,19.66
Coivaras (PI),4043,484,8.35
Colônia do Gurguéia (PI),6150,430,14.32
Colônia do Piauí (PI),6991,950,7.36
Conceição do Canindé (PI),4932,825,5.98
Coronel José Dias (PI),4250,1926,2.21
Corrente (PI),27285,3049,8.95
Cristalândia do Piauí (PI),7283,1203,6.05
Cristino Castro (PI),10503,1846,5.69
Curimatá (PI),11270,2345,4.81
Currais (PI),4844,3157,1.53
Curralinhos (PI),4413,346,12.76
Curral Novo do Piauí (PI),5073,755,6.72
Demerval Lobão (PI),15853,217,73.12
Dirceu Arcoverde (PI),7054,1006,7.01
Dom Expedito Lopes (PI),6320,219,28.88
Domingos Mourão (PI),4075,849,4.8
Dom Inocêncio (PI),9159,3872,2.37
Elesbão Veloso (PI),13607,1384,9.83
Eliseu Martins (PI),4377,1098,3.99
Esperantina (PI),40970,909,45.08
Fartura do Piauí (PI),5284,713,7.41
Flores do Piauí (PI),4414,947,4.66
Floresta do Piauí (PI),2333,223,10.45
Floriano (PI),62036,3408,18.2
Francinópolis (PI),4505,269,16.77
Francisco Ayres (PI),4412,656,6.72
Francisco Macedo (PI),2929,179,16.34
Francisco Santos (PI),8237,492,16.74
Fronteiras (PI),10259,777,13.2
Geminiano (PI),5445,441,12.36
Gilbués (PI),10892,3496,3.12
Guadalupe (PI),10270,1027,10
Guaribas (PI),4276,3118,1.37
Hugo Napoleão (PI),3518,225,15.67
Ilha Grande (PI),9274,130,71.51
Inhuma (PI),14958,978,15.29
Ipiranga do Piauí (PI),9420,529,17.79
Isaías Coelho (PI),7774,801,9.71
Itainópolis (PI),10790,828,13.04
Itaueira (PI),10323,2554,4.04
Jacobina do Piauí (PI),5613,1334,4.21
Jaicós (PI),17527,867,20.22
Jardim do Mulato (PI),4180,510,8.19
Jatobá do Piauí (PI),4494,650,6.91
Jerumenha (PI),4497,1866,2.41
João Costa (PI),2970,1800,1.65
