Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Abatiá (PR),7241,229,31.66
Adrianópolis (PR),6256,1349,4.64
Agudos do Sul (PR),10233,192,53.22
Almirante Tamandaré (PR),119825,194,616.93
Altamira do Paraná (PR),3590,387,9.28
Altônia (PR),18738,662,28.32
Alto Paraná (PR),13909,408,34.11
Alto Piquiri (PR),9727,448,21.73
Alvorada do Sul (PR),10326,424,24.34
Amaporã (PR),4762,385,12.38
Ampére (PR),19620,298,65.76
Anahy (PR),2918,103,28.36
Andirá (PR),19878,236,84.25
Ângulo (PR),3235,106,30.51
Antonina (PR),18091,892,20.29
Antônio Olinto (PR),7018,470,14.94
Apucarana (PR),130134,557,233.64
Arapongas (PR),119138,382,311.7
Arapoti (PR),25777,1358,18.98
Arapuã (PR),3527,217,16.23
Araruna (PR),14485,493,29.37
Araucária (PR),151666,469,323.22
Ariranha do Ivaí (PR),2329,234,9.95
Assaí (PR),13797,440,31.33
Assis Chateaubriand (PR),36808,981,37.53
Astorga (PR),25475,435,58.59
Atalaia (PR),3980,138,28.91
Balsa Nova (PR),13395,349,38.39
Bandeirantes (PR),31273,445,70.25
Barbosa Ferraz (PR),10795,539,20.04
Barracão (PR),9759,161,60.53
Barra do Jacaré (PR),2814,116,24.29
Bela Vista da Caroba (PR),4031,148,27.22
Bela Vista do Paraíso (PR),14833,243,61.12
Bituruna (PR),15533,1235,12.58
Boa Esperança (PR),4558,303,15.06
Boa Esperança do Iguaçu (PR),2455,152,16.17
Boa Ventura de São Roque (PR),6378,620,10.28
Boa Vista da Aparecida (PR),7924,266,29.77
Bocaiúva do Sul (PR),13281,826,16.09
Bom Jesus do Sul (PR),3980,176,22.6
Bom Sucesso (PR),6581,323,20.39
Bom Sucesso do Sul (PR),3202,196,16.34
Borrazópolis (PR),7735,334,23.13
Braganey (PR),4854,343,14.14
Brasilândia do Sul (PR),3708,291,12.74
Cafeara (PR),2627,186,14.14
Cafelândia (PR),18997,275,69.1
Cafezal do Sul (PR),4473,335,13.34
Califórnia (PR),8710,142,61.42
Cambará (PR),23210,366,63.39
Cambé (PR),107208,495,216.42
Cambira (PR),9460,165,57.41
Campina da Lagoa (PR),15723,797,19.74
Campina do Simão (PR),3936,448,8.78
Campina Grande do Sul (PR),47799,539,88.64
Campo Bonito (PR),4027,434,9.28
Campo do Tenente (PR),7508,304,24.66
Campo Largo (PR),136327,1244,109.63
Campo Magro (PR),29879,275,108.51
Campo Mourão (PR),99432,750,132.64
Cândido de Abreu (PR),15244,1510,10.09
Candói (PR),14973,1513,9.9
Cantagalo (PR),10933,583,18.74
Capanema (PR),20481,419,48.88
Capitão Leônidas Marques (PR),14648,280,52.3
Carambeí (PR),23283,650,35.84
Carlópolis (PR),16905,451,37.45
Cascavel (PR),348051,2091,166.44
Castro (PR),73044,2532,28.85
Catanduvas (PR),10446,580,18
Centenário do Sul (PR),10832,372,29.13
Cerro Azul (PR),16134,1341,12.03
Céu Azul (PR),11087,1179,9.4
Chopinzinho (PR),21079,960,21.96
Cianorte (PR),79527,812,97.98
Cidade Gaúcha (PR),11467,403,28.45
Clevelândia (PR),15070,704,21.42
Colombo (PR),232056,198,1174.49
Colorado (PR),22896,408,56.18
Congonhinhas (PR),8320,536,15.52
Conselheiro Mairinck (PR),3461,205,16.91
Contenda (PR),19128,299,63.97
Corbélia (PR),17470,529,33.02
Cornélio Procópio (PR),45206,635,71.18
Coronel Domingos Soares (PR),5649,1556,3.63
Coronel Vivida (PR),23331,684,34.09
Corumbataí do Sul (PR),3760,164,22.88
Cruzeiro do Iguaçu (PR),4133,162,25.53
Cruzeiro do Oeste (PR),23831,776,30.71
Cruzeiro do Sul (PR),4494,259,17.34
Cruz Machado (PR),15978,1478,10.81
Cruzmaltina (PR),2882,312,9.23
Curitiba (PR),1773733,435,4078.56
Curiúva (PR),13647,576,23.68
Diamante do Norte (PR),5142,243,21.17
Diamante do Sul (PR),3171,347,9.13
Diamante D'Oeste (PR),4557,309,14.74
Dois Vizinhos (PR),44869,419,107.18
Douradina (PR),9161,421,21.78
Doutor Camargo (PR),6327,118,53.49
Enéas Marques (PR),5999,192,31.21
Engenheiro Beltrão (PR),12454,467,26.64
Esperança Nova (PR),1849,141,13.09
Entre Rios do Oeste (PR),4575,121,37.82
Espigão Alto do Iguaçu (PR),4797,326,14.69
Farol (PR),3039,289,10.51
Faxinal (PR),16389,716,22.89
Fazenda Rio Grande (PR),148873,117,1275.93
Fênix (PR),4492,234,19.19
Fernandes Pinheiro (PR),6255,407,15.39
Figueira (PR),8062,130,62.13
Floraí (PR),4792,191,25.07
Flor da Serra do Sul (PR),4364,256,17.07
Floresta (PR),10458,158,66.1
Florestópolis (PR),11446,247,46.37
Flórida (PR),2652,83,31.93
Formosa do Oeste (PR),7635,276,27.67
Foz do Iguaçu (PR),285415,609,468.51
Francisco Alves (PR),8116,322,25.21
Francisco Beltrão (PR),96666,735,131.5
Foz do Jordão (PR),4926,235,20.93
General Carneiro (PR),11062,1071,10.33
Godoy Moreira (PR),2977,131,22.72
Goioerê (PR),28437,564,50.41
Goioxim (PR),6566,702,9.35
Grandes Rios (PR),5641,314,17.95
Guaíra (PR),32097,564,56.94
Guairaçá (PR),6544,494,13.25
Guamiranga (PR),7856,245,32.09
Guapirama (PR),4626,189,24.46
Guaporema (PR),2191,201,10.89
Guaraci (PR),4748,212,22.43
Guaraniaçu (PR),13735,1238,11.09
Guarapuava (PR),182093,3168,57.48
Guaraqueçaba (PR),7430,2011,3.69
Guaratuba (PR),42062,1327,31.7
Honório Serpa (PR),4941,502,9.84
Ibaiti (PR),28830,898,32.1
Ibema (PR),6218,145,42.75
Ibiporã (PR),51603,298,173.31
Icaraíma (PR),8991,675,13.32
Iguaraçu (PR),5338,165,32.35
Iguatu (PR),2144,107,20.05
Imbaú (PR),14249,331,43.08
Imbituva (PR),29924,757,39.55
Inácio Martins (PR),9670,936,10.33
Inajá (PR),2536,195,13.02
Indianópolis (PR),4448,123,36.27
Ipiranga (PR),14142,901,15.7
Iporã (PR),15746,648,24.3
Iracema do Oeste (PR),2343,82,28.74
Irati (PR),59250,1000,59.28
Iretama (PR),10684,570,18.73
Itaguajé (PR),4481,194,23.06
Itaipulândia (PR),11485,331,34.71
Itambaracá (PR),5908,207,28.49
Itambé (PR),6111,244,25.06
Itapejara d'Oeste (PR),12344,254,48.6
Itaperuçu (PR),31217,323,96.65
Itaúna do Sul (PR),3572,129,27.72
Ivaí (PR),13229,608,21.76
Ivaiporã (PR),32720,437,74.88
Ivaté (PR),6831,410,16.65
Ivatuba (PR),2708,97,28.02
Jaboti (PR),5427,139,38.97
Jacarezinho (PR),40375,603,67.01
Jaguapitã (PR),15122,475,31.84
Jaguariaíva (PR),35141,1453,24.18
Jandaia do Sul (PR),21408,188,114.12
Janiópolis (PR),5870,336,17.49
Japira (PR),4972,188,26.47
Japurá (PR),9144,165,55.36
Jardim Alegre (PR),12004,413,29.04
Jardim Olinda (PR),1343,129,10.45
Jataizinho (PR),11813,159,74.21
Jesuítas (PR),10506,247,42.45
Joaquim Távora (PR),11945,289,41.31
Jundiaí do Sul (PR),3333,321,10.39
Juranda (PR),7771,354,21.93
Jussara (PR),6690,211,31.73
Kaloré (PR),4582,193,23.7
Lapa (PR),45003,2094,21.49
Laranjal (PR),5600,559,10.01
Laranjeiras do Sul (PR),32227,674,47.84
Leópolis (PR),3752,345,10.88
Lidianópolis (PR),3938,151,26
Lindoeste (PR),5175,347,14.91
Loanda (PR),23225,722,32.15
Lobato (PR),4601,241,19.1
Londrina (PR),555937,1653,336.41
Luiziana (PR),6690,917,7.3
Lunardelli (PR),4872,199,24.46
Lupionópolis (PR),4813,121,39.76
Mallet (PR),13428,760,17.66
Mamborê (PR),13452,788,17.07
Mandaguaçu (PR),31457,294,106.99
Mandaguari (PR),36716,336,109.33
Mandirituba (PR),27434,379,72.35
Manfrinópolis (PR),2770,216,12.84
Mangueirinha (PR),16603,1055,15.73
Manoel Ribas (PR),14240,571,24.93
Marechal Cândido Rondon (PR),55836,746,74.87
Maria Helena (PR),5865,486,12.06
Marialva (PR),41851,476,88
Marilândia do Sul (PR),8677,384,22.57
Marilena (PR),7253,232,31.21
Mariluz (PR),9847,433,22.73
Maringá (PR),409657,487,841.16
Mariópolis (PR),6371,230,27.66
Maripá (PR),6555,284,23.1
Marmeleiro (PR),15901,388,41.02
Marquinho (PR),4504,504,8.94
Marumbi (PR),4699,208,22.54
Matelândia (PR),18450,640,28.84
Matinhos (PR),39259,118,332.99
Mato Rico (PR),3267,395,8.28
Mauá da Serra (PR),9383,108,86.62
Medianeira (PR),54369,329,165.39
Mercedes (PR),5931,197,30.09
Mirador (PR),2238,222,10.09
Miraselva (PR),1966,90,21.77
Missal (PR),11064,324,34.11
Moreira Sales (PR),11175,354,31.59
Morretes (PR),18309,685,26.74
Munhoz de Melo (PR),3951,137,28.84
Nossa Senhora das Graças (PR),3669,186,19.75
Nova Aliança do Ivaí (PR),1323,131,10.08
Nova América da Colina (PR),3280,129,25.33
Nova Aurora (PR),13765,471,29.25
Nova Cantu (PR),6790,555,12.22
Nova Esperança (PR),26585,402,66.2
Nova Esperança do Sudoeste (PR),5597,208,26.85
Nova Fátima (PR),7225,283,25.49
Nova Laranjeiras (PR),12074,1210,9.98
Nova Londrina (PR),12923,269,47.97
Nova Olímpia (PR),5833,136,42.78
Nova Santa Bárbara (PR),4184,77,54.42
Nova Santa Rosa (PR),8322,205,40.66
Nova Prata do Iguaçu (PR),12699,353,36.02
Nova Tebas (PR),6848,546,12.55
Novo Itacolomi (PR),3125,161,19.36
Ortigueira (PR),24192,2430,9.96
Ourizona (PR),3187,176,18.06
Ouro Verde do Oeste (PR),6785,293,23.15
Paiçandu (PR),45962,171,268.19
Palmas (PR),48247,1558,30.97
Palmeira (PR),33855,1470,23.03
Palmital (PR),13033,818,15.94
Palotina (PR),35011,651,53.76
Paraíso do Norte (PR),13245,205,64.75
Paranacity (PR),9557,349,27.41
Paranaguá (PR),145829,823,177.23
Paranapoema (PR),2398,176,13.63
Paranavaí (PR),91950,1202,76.48
Pato Bragado (PR),5733,136,42.28
Pato Branco (PR),91836,539,170.35
Paula Freitas (PR),5666,421,13.45
Paulo Frontin (PR),6343,363,17.46
Peabiru (PR),13346,469,28.48
Perobal (PR),7189,409,17.57
Pérola (PR),11878,236,50.29
Pérola d'Oeste (PR),6221,205,30.31
Piên (PR),13655,255,53.59
Pinhais (PR),127019,61,2086.76
Pinhalão (PR),6566,221,29.76
Pinhal de São Bento (PR),2761,97,28.33
Pinhão (PR),29886,2002,14.93
Piraí do Sul (PR),23649,1345,17.58
Piraquara (PR),118730,227,522.94
Pitanga (PR),33567,1664,20.18
Pitangueiras (PR),3046,123,24.72
Planaltina do Paraná (PR),4070,356,11.43
Planalto (PR),14374,346,41.51
Ponta Grossa (PR),358367,2055,174.41
Pontal do Paraná (PR),30425,200,151.81
Porecatu (PR),11624,292,39.85
Porto Amazonas (PR),4098,187,21.96
Porto Barreiro (PR),3110,361,8.61
Porto Rico (PR),3182,218,14.62
Porto Vitória (PR),3562,213,16.72
Prado Ferreira (PR),3709,153,24.26
Pranchita (PR),5737,226,25.37
Presidente Castelo Branco (PR),4336,156,27.84
Primeiro de Maio (PR),10082,414,24.33
Prudentópolis (PR),49393,2247,21.98
Quarto Centenário (PR),4201,322,13.05
Quatiguá (PR),8099,113,71.87
Quatro Barras (PR),24191,180,134.04
Quatro Pontes (PR),4480,114,39.16
Quedas do Iguaçu (PR),30738,822,37.42
Querência do Norte (PR),10685,915,11.68
Quinta do Sol (PR),5001,326,15.33
Quitandinha (PR),18398,447,41.16
Ramilândia (PR),4221,237,17.8
Rancho Alegre (PR),3512,168,20.95
Rancho Alegre D'Oeste (PR),2618,241,10.85
Realeza (PR),19247,353,54.46
Rebouças (PR),14514,482,30.12
Renascença (PR),6841,425,16.09
Reserva (PR),24573,1636,15.02
Reserva do Iguaçu (PR),6553,834,7.86
Ribeirão Claro (PR),12364,629,19.65
Ribeirão do Pinhal (PR),13060,375,34.85
Rio Azul (PR),14025,599,23.41
Rio Bom (PR),3197,178,17.98
Rio Bonito do Iguaçu (PR),13929,681,20.44
Rio Branco do Ivaí (PR),3808,376,10.12
Rio Branco do Sul (PR),37558,811,46.29
Rio Negro (PR),31324,604,51.85
Rolândia (PR),71670,459,156.14
Roncador (PR),11251,742,15.16
Rondon (PR),9097,555,16.39
Rosário do Ivaí (PR),5435,377,14.4
Sabáudia (PR),8822,190,46.35
Salgado Filho (PR),4075,181,22.51
Salto do Itararé (PR),5192,201,25.89
Salto do Lontra (PR),15223,313,48.68
Santa Amélia (PR),3394,78,43.49
Santa Cecília do Pavão (PR),3365,105,32.02
Santa Cruz de Monte Castelo (PR),8613,442,19.49
Santa Fé (PR),11378,276,41.19
Santa Helena (PR),25492,755,33.78
Santa Inês (PR),1748,157,11.14
Santa Isabel do Ivaí (PR),8912,349,25.5
Santa Izabel do Oeste (PR),14070,321,43.81
Santa Lúcia (PR),3644,127,28.74
Santa Maria do Oeste (PR),9934,837,11.87
Santa Mariana (PR),11066,427,25.9
Santa Mônica (PR),3356,260,12.91
Santana do Itararé (PR),5514,251,21.94
Santa Tereza do Oeste (PR),13174,326,40.39
Santa Terezinha de Itaipu (PR),24262,268,90.44
Santo Antônio da Platina (PR),44369,721,61.5
Santo Antônio do Caiuá (PR),2493,219,11.38
Santo Antônio do Paraíso (PR),2125,167,12.72
Santo Antônio do Sudoeste (PR),23673,326,72.69
Santo Inácio (PR),6181,280,22.06
São Carlos do Ivaí (PR),6587,225,29.27
São Jerônimo da Serra (PR),10830,824,13.15
São João (PR),11886,388,30.63
São João do Caiuá (PR),5586,304,18.35
São João do Ivaí (PR),10667,353,30.19
São João do Triunfo (PR),13726,720,19.05
São Jorge d'Oeste (PR),9378,380,24.71
São Jorge do Ivaí (PR),5168,315,16.4
São Jorge do Patrocínio (PR),6504,406,16
São José da Boa Vista (PR),6040,400,15.11
São José das Palmeiras (PR),3870,182,21.21
São José dos Pinhais (PR),329222,946,347.85
São Manoel do Paraná (PR),2138,95,22.42
São Mateus do Sul (PR),42358,1342,31.57
São Miguel do Iguaçu (PR),29122,852,34.18
São Pedro do Iguaçu (PR),5784,308,18.76
São Pedro do Ivaí (PR),8690,323,26.93
São Pedro do Paraná (PR),2661,251,10.62
São Sebastião da Amoreira (PR),8063,227,35.54
São Tomé (PR),5232,219,23.93
Sapopema (PR),6695,678,9.88
Sarandi (PR),118455,104,1144.48
Saudade do Iguaçu (PR),6108,152,40.16
Sengés (PR),17270,1441,11.98
Serranópolis do Iguaçu (PR),5007,482,10.38
Sertaneja (PR),5616,444,12.63
Sertanópolis (PR),15930,506,31.51
Siqueira Campos (PR),22811,278,82.04
Sulina (PR),3440,171,20.15
Tamarana (PR),10707,472,22.68
Tamboara (PR),4880,193,25.24
Tapejara (PR),15869,591,26.83
Tapira (PR),5745,434,13.23
Teixeira Soares (PR),9547,903,10.57
Telêmaco Borba (PR),75042,1383,54.27
Terra Boa (PR),17568,321,54.75
Terra Rica (PR),14842,701,21.18
Terra Roxa (PR),18119,801,22.63
Tibagi (PR),19961,2978,6.7
Tijucas do Sul (PR),17606,672,26.2
Toledo (PR),150470,1198,125.6
Tomazina (PR),8426,591,14.25
Três Barras do Paraná (PR),11135,506,22.03
Tunas do Paraná (PR),6219,668,9.3
Tuneiras do Oeste (PR),8067,699,11.54
Tupãssi (PR),8077,300,26.94
Turvo (PR),14231,939,15.16
Ubiratã (PR),24749,653,37.92
Umuarama (PR),117095,1235,94.85
União da Vitória (PR),55033,720,76.43
Uniflor (PR),2136,95,22.53
Uraí (PR),10406,238,43.76
Wenceslau Braz (PR),19188,398,48.22
Ventania (PR),9681,819,11.82
Vera Cruz do Oeste (PR),8215,327,25.12
Verê (PR),7932,312,25.44
Alto Paraíso (PR),3055,968,3.16
Doutor Ulysses (PR),5697,777,7.33
Virmond (PR),3811,249,15.3
Vitorino (PR),9706,308,31.49
Xambrê (PR),5798,360,16.12
