Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Angra dos Reis (RJ),167418,813,205.82
Aperibé (RJ),11034,95,116.71
Araruama (RJ),129669,638,203.16
Areal (RJ),11828,111,106.82
Armação dos Búzios (RJ),40006,71,563.65
Arraial do Cabo (RJ),30986,152,203.71
Barra do Piraí (RJ),92883,585,158.88
Barra Mansa (RJ),169899,547,310.53
Belford Roxo (RJ),483087,79,6116.19
Bom Jardim (RJ),28102,382,73.48
Bom Jesus do Itabapoana (RJ),35173,597,58.95
Cabo Frio (RJ),221987,413,536.92
Cachoeiras de Macacu (RJ),56943,955,59.64
Cambuci (RJ),14616,558,26.18
Carapebus (RJ),13847,305,45.42
Comendador Levy Gasparian (RJ),8741,109,80.46
Campos dos Goytacazes (RJ),483551,4032,119.91
Cantagalo (RJ),19390,747,25.95
Cardoso Moreira (RJ),12958,523,24.8
Carmo (RJ),17198,306,56.25
Casimiro de Abreu (RJ),46110,463,99.61
Conceição de Macabu (RJ),21104,338,62.39
Cordeiro (RJ),20783,113,183.84
Duas Barras (RJ),10980,380,28.92
Duque de Caxias (RJ),808152,467,1729.34
Engenheiro Paulo de Frontin (RJ),12242,139,87.83
Guapimirim (RJ),51696,358,144.22
Iguaba Grande (RJ),27920,51,547.7
Itaboraí (RJ),224267,430,521.6
Itaguaí (RJ),116841,283,413.44
Italva (RJ),14073,291,48.33
Itaocara (RJ),22919,433,52.91
Itaperuna (RJ),101041,1107,91.3
Itatiaia (RJ),30908,241,128.23
Japeri (RJ),96289,82,1178.61
Laje do Muriaé (RJ),7336,254,28.94
Macaé (RJ),246391,1217,202.46
Macuco (RJ),5415,78,69.1
Magé (RJ),228127,391,583.78
Mangaratiba (RJ),41220,368,112.13
Maricá (RJ),197300,362,545.67
Mendes (RJ),17502,95,183.61
Mesquita (RJ),167128,41,4059.56
Miguel Pereira (RJ),26578,288,92.31
Miracema (RJ),26881,303,88.64
Natividade (RJ),15074,387,38.94
Nilópolis (RJ),146774,19,7568.4
Niterói (RJ),481758,134,3601.74
Nova Friburgo (RJ),189937,935,203.05
Nova Iguaçu (RJ),785882,521,1509.62
Paracambi (RJ),41375,191,216.68
Paraíba do Sul (RJ),42063,571,73.65
Paraty (RJ),44872,924,48.55
Paty do Alferes (RJ),29619,314,94.23
Petrópolis (RJ),278881,791,352.5
Pinheiral (RJ),24298,82,295.4
Piraí (RJ),27474,490,56.04
Porciúncula (RJ),17288,292,59.24
Porto Real (RJ),20373,51,400.32
Quatis (RJ),13682,285,48.04
Queimados (RJ),140523,76,1850.76
Quissamã (RJ),22393,720,31.12
Resende (RJ),129612,1099,117.9
Rio Bonito (RJ),56276,459,122.48
Rio Claro (RJ),17401,847,20.55
Rio das Flores (RJ),8954,479,18.7
Rio das Ostras (RJ),156491,228,686.23
Rio de Janeiro (RJ),6211423,1200,5174.77
Santa Maria Madalena (RJ),10232,811,12.62
Santo Antônio de Pádua (RJ),41325,604,68.46
São Francisco de Itabapoana (RJ),45059,1118,40.3
São Fidélis (RJ),38939,1035,37.63
São Gonçalo (RJ),896744,248,3613.57
São João da Barra (RJ),36573,452,80.84
São João de Meriti (RJ),440962,35,12521.64
São José de Ubá (RJ),7070,250,28.32
São José do Vale do Rio Preto (RJ),22080,220,100.28
São Pedro da Aldeia (RJ),104029,332,312.88
São Sebastião do Alto (RJ),7750,397,19.51
Sapucaia (RJ),17729,541,32.79
Saquarema (RJ),89559,352,254.34
Seropédica (RJ),80596,265,303.92
Silva Jardim (RJ),21352,938,22.77
Sumidouro (RJ),15206,413,36.78
Tanguá (RJ),31086,143,217.37
Teresópolis (RJ),165123,773,213.52
Trajano de Moraes (RJ),10302,591,17.43
Três Rios (RJ),78346,323,242.68
Valença (RJ),67753,1301,52.09
Varre-Sai (RJ),10207,202,50.55
Vassouras (RJ),33976,536,63.38
Volta Redonda (RJ),261584,182,1436.45
