Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Acari (RN),10597,608,17.42
Açu (RN),56502,1303,43.35
Afonso Bezerra (RN),10839,576,18.81
Água Nova (RN),2946,51,58.12
Alexandria (RN),13640,381,35.78
Almino Afonso (RN),4687,128,36.61
Alto do Rodrigues (RN),12484,191,65.25
Angicos (RN),11632,742,15.69
Antônio Martins (RN),6577,245,26.86
Apodi (RN),36094,1602,22.52
Areia Branca (RN),24093,343,70.29
Arês (RN),13251,115,114.82
Campo Grande (RN),9743,891,10.94
Baía Formosa (RN),8824,247,35.65
Baraúna (RN),26894,826,32.57
Barcelona (RN),3986,153,26.12
Bento Fernandes (RN),4807,301,15.97
Bodó (RN),2306,254,9.1
Bom Jesus (RN),9952,122,81.55
Brejinho (RN),12202,62,198.22
Caiçara do Norte (RN),6293,226,27.89
Caiçara do Rio do Vento (RN),3268,261,12.51
Caicó (RN),61146,1229,49.77
Campo Redondo (RN),10215,214,47.79
Canguaretama (RN),29668,245,120.85
Caraúbas (RN),19577,1096,17.87
Carnaúba dos Dantas (RN),7990,246,32.44
Carnaubais (RN),9714,518,18.76
Ceará-Mirim (RN),79115,725,109.15
Cerro Corá (RN),11000,394,27.95
Coronel Ezequiel (RN),5117,186,27.55
Coronel João Pessoa (RN),4237,117,36.17
Cruzeta (RN),8005,296,27.06
Currais Novos (RN),41318,864,47.8
Doutor Severiano (RN),7044,114,61.93
Parnamirim (RN),252716,124,2037.93
Encanto (RN),6016,126,47.84
Equador (RN),5360,265,20.23
Espírito Santo (RN),10611,136,78.12
Extremoz (RN),61571,141,437.79
Felipe Guerra (RN),5940,269,22.12
Fernando Pedroza (RN),2938,323,9.11
Florânia (RN),10196,508,20.08
Francisco Dantas (RN),2700,182,14.87
Frutuoso Gomes (RN),4122,63,65.14
Galinhos (RN),2104,341,6.17
Goianinha (RN),26741,192,139.07
Governador Dix-Sept Rosado (RN),11938,1130,10.57
Grossos (RN),9924,125,79.69
Guamaré (RN),15295,258,59.21
Ielmo Marinho (RN),11615,312,37.22
Ipanguaçu (RN),14131,374,37.76
Ipueira (RN),2035,127,15.98
Itajá (RN),7292,204,35.81
Itaú (RN),5320,133,39.99
Jaçanã (RN),7834,55,143.58
Jandaíra (RN),6562,443,14.82
Janduís (RN),4746,303,15.64
Januário Cicco (RN),9051,171,53.01
Japi (RN),5117,189,27.08
Jardim de Angicos (RN),2437,254,9.59
Jardim de Piranhas (RN),13977,331,42.29
Jardim do Seridó (RN),11655,368,31.7
João Câmara (RN),33290,715,46.56
João Dias (RN),2076,88,23.54
José da Penha (RN),5803,118,49.33
Jucurutu (RN),17793,934,19.06
Jundiá (RN),3747,45,83.94
Lagoa d'Anta (RN),6654,106,62.98
Lagoa de Pedras (RN),7338,118,62.2
Lagoa de Velhos (RN),2567,112,23
Lagoa Nova (RN),15573,176,88.33
Lagoa Salgada (RN),8319,79,105.13
Lajes (RN),9866,677,14.58
Lajes Pintadas (RN),4787,130,36.76
Lucrécia (RN),3490,31,112.83
Luís Gomes (RN),9070,167,54.43
Macaíba (RN),82212,510,161.17
Macau (RN),27369,775,35.3
Major Sales (RN),3924,32,122.74
Marcelino Vieira (RN),7896,346,22.84
Martins (RN),8179,169,48.26
Maxaranguape (RN),10255,132,77.61
Messias Targino (RN),4274,143,29.97
Montanhas (RN),11444,82,139.2
Monte Alegre (RN),23031,211,109.02
Monte das Gameleiras (RN),2276,72,31.63
Mossoró (RN),264577,2099,126.03
Natal (RN),751300,167,4488.03
Nísia Floresta (RN),31942,308,103.8
Nova Cruz (RN),34269,278,123.42
Olho d'Água do Borges (RN),3907,141,27.68
Ouro Branco (RN),4913,253,19.4
Paraná (RN),3934,81,48.34
Paraú (RN),3587,383,9.36
Parazinho (RN),4801,231,20.78
Parelhas (RN),21499,514,41.87
Rio do Fogo (RN),10351,151,68.51
Passa e Fica (RN),10896,42,258.59
Passagem (RN),3115,41,75.58
Patu (RN),11009,319,34.5
Santa Maria (RN),4847,220,22.07
Pau dos Ferros (RN),30479,260,117.25
Pedra Grande (RN),3618,221,16.36
Pedra Preta (RN),2441,295,8.27
Pedro Avelino (RN),6242,953,6.55
Pedro Velho (RN),13824,193,71.74
Pendências (RN),12278,419,29.29
Pilões (RN),2965,83,35.86
Poço Branco (RN),12390,230,53.78
Portalegre (RN),7601,110,69.07
Porto do Mangue (RN),5228,361,14.47
Serra Caiada (RN),10125,218,46.54
Pureza (RN),9362,504,18.56
