Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Alta Floresta D'Oeste (RO),21495,7067,3.04
Ariquemes (RO),96833,4427,21.88
Cabixi (RO),5363,1314,4.08
Cacoal (RO),86895,3793,22.91
Cerejeiras (RO),15890,2783,5.71
Colorado do Oeste (RO),15663,1451,10.79
Corumbiara (RO),7519,3060,2.46
Costa Marques (RO),12627,4987,2.53
Espigão D'Oeste (RO),29397,4518,6.51
Guajará-Mirim (RO),39386,24857,1.58
Jaru (RO),50591,2944,17.18
Ji-Paraná (RO),124333,6897,18.03
Machadinho D'Oeste (RO),30707,8509,3.61
Nova Brasilândia D'Oeste (RO),15679,1703,9.21
Ouro Preto do Oeste (RO),35044,1970,17.79
Pimenta Bueno (RO),34998,6241,5.61
Porto Velho (RO),460413,34091,13.51
Presidente Médici (RO),19327,1758,10.99
Rio Crespo (RO),3471,1718,2.02
Rolim de Moura (RO),56406,1458,38.69
Santa Luzia D'Oeste (RO),7419,1198,6.19
Vilhena (RO),95832,11699,8.19
São Miguel do Guaporé (RO),21635,7460,2.9
Nova Mamoré (RO),25444,10070,2.53
Alvorada D'Oeste (RO),13117,3029,4.33
Alto Alegre dos Parecis (RO),11479,3958,2.9
Alto Paraíso (RO),16320,2652,6.15
Buritis (RO),27992,3266,8.57
Novo Horizonte do Oeste (RO),7667,843,9.09
Cacaulândia (RO),4150,1962,2.12
Campo Novo de Rondônia (RO),8844,3442,2.57
Candeias do Jamari (RO),22238,6844,3.25
Castanheiras (RO),3233,893,3.62
Chupinguaia (RO),9324,5127,1.82
Cujubim (RO),14863,3864,3.85
Governador Jorge Teixeira (RO),8001,5067,1.58
Itapuã do Oeste (RO),8541,4082,2.09
Ministro Andreazza (RO),6466,798,8.1
Mirante da Serra (RO),9235,1192,7.75
Monte Negro (RO),11548,1931,5.98
Nova União (RO),6200,807,7.68
Parecis (RO),4125,2549,1.62
Pimenteiras do Oeste (RO),2156,6015,0.36
Primavera de Rondônia (RO),3074,606,5.08
São Felipe D'Oeste (RO),5258,542,9.71
São Francisco do Guaporé (RO),16286,10949,1.49
Seringueiras (RO),11171,3774,2.96
Teixeirópolis (RO),4256,460,9.25
Theobroma (RO),8113,2197,3.69
Urupá (RO),10725,832,12.89
Vale do Anari (RO),7788,3135,2.48
Vale do Paraíso (RO),6479,966,6.71
