Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Amajari (RR),13927,28473,0.49
Alto Alegre (RR),21066,25454,0.83
Boa Vista (RR),413486,5687,72.71
Bonfim (RR),13897,8080,1.72
Cantá (RR),18682,7665,2.44
Caracaraí (RR),20957,47380,0.44
Caroebe (RR),10656,12066,0.88
Iracema (RR),10023,14012,0.72
Mucajaí (RR),18064,12338,1.46
Normandia (RR),13669,6960,1.96
Pacaraima (RR),19305,8025,2.41
Rorainópolis (RR),32647,33580,0.97
São João da Baliza (RR),8858,4285,2.07
São Luiz (RR),7315,1527,4.79
Uiramutã (RR),13751,8114,1.69
