Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Aceguá (RS),4170,1551,2.69
Água Santa (RS),3912,292,13.42
Agudo (RS),16039,535,30
Ajuricaba (RS),6720,323,20.83
Alecrim (RS),6123,316,19.35
Alegrete (RS),72409,7800,9.28
Alegria (RS),3651,173,21.13
Almirante Tamandaré do Sul (RS),1969,265,7.43
Alpestre (RS),7117,326,21.83
Alto Alegre (RS),1800,115,15.61
Alto Feliz (RS),3072,78,39.3
Alvorada (RS),187315,72,2612.48
Amaral Ferrador (RS),5310,506,10.49
Ametista do Sul (RS),7650,94,81.64
André da Rocha (RS),1135,331,3.43
Anta Gorda (RS),5957,242,24.61
Antônio Prado (RS),12980,348,37.35
Arambaré (RS),4112,518,7.94
Araricá (RS),8525,35,240.88
Aratiba (RS),6483,342,18.94
Arroio do Meio (RS),21963,157,139.81
Arroio do Sal (RS),11057,119,92.79
Arroio do Padre (RS),2599,125,20.84
Arroio dos Ratos (RS),14601,426,34.29
Arroio do Tigre (RS),12058,315,38.26
Arroio Grande (RS),17558,2509,7
Arvorezinha (RS),10322,269,38.33
Augusto Pestana (RS),7149,348,20.53
Áurea (RS),3396,157,21.67
Bagé (RS),117938,4090,28.83
Balneário Pinhal (RS),14955,102,146.06
Barão (RS),6461,125,51.79
Barão de Cotegipe (RS),7144,261,27.42
Barão do Triunfo (RS),5889,436,13.5
Barracão (RS),4831,515,9.37
Barra do Guarita (RS),3161,63,50.33
Barra do Quaraí (RS),4241,1056,4.02
Barra do Ribeiro (RS),12225,729,16.76
Barra do Rio Azul (RS),1696,147,11.54
Barra Funda (RS),2498,60,41.33
Barros Cassal (RS),9296,648,14.35
Benjamin Constant do Sul (RS),2082,132,15.73
Bento Gonçalves (RS),123151,272,452.28
Boa Vista das Missões (RS),1933,196,9.86
Boa Vista do Buricá (RS),6966,110,63.59
Boa Vista do Cadeado (RS),2229,701,3.18
Boa Vista do Incra (RS),2271,504,4.5
Boa Vista do Sul (RS),2779,94,29.44
Bom Jesus (RS),11202,2623,4.27
Bom Princípio (RS),13132,89,148.12
Bom Progresso (RS),2096,89,23.5
Bom Retiro do Sul (RS),12294,103,119.89
Boqueirão do Leão (RS),6247,266,23.49
Bossoroca (RS),5890,1610,3.66
Bozano (RS),2151,200,10.73
Braga (RS),3268,132,24.75
Brochier (RS),4966,105,47.14
Butiá (RS),19084,752,25.37
Caçapava do Sul (RS),32515,3048,10.67
Cacequi (RS),11157,2374,4.7
Cachoeira do Sul (RS),80070,3736,21.43
Cachoeirinha (RS),136258,44,3112.48
Cacique Doble (RS),4603,204,22.56
Caibaté (RS),4704,261,18
Caiçara (RS),4836,189,25.57
Camaquã (RS),62200,1680,37.02
Camargo (RS),2981,138,21.59
Cambará do Sul (RS),6361,1182,5.38
Campestre da Serra (RS),3242,538,6.02
Campina das Missões (RS),5882,225,26.17
Campinas do Sul (RS),5284,276,19.13
Campo Bom (RS),62886,61,1038.08
Campo Novo (RS),4975,221,22.54
Campos Borges (RS),3613,226,15.97
Candelária (RS),28906,945,30.6
Cândido Godói (RS),6294,247,25.48
Candiota (RS),10710,934,11.47
Canela (RS),48946,253,193.46
Canguçu (RS),49680,3526,14.09
Canoas (RS),347657,131,2658.15
Canudos do Vale (RS),1656,83,19.97
Capão Bonito do Sul (RS),1733,527,3.29
Capão da Canoa (RS),63594,98,646.39
Capão do Cipó (RS),3119,1008,3.09
Capão do Leão (RS),26487,783,33.82
Capivari do Sul (RS),3991,413,9.67
Capela de Santana (RS),11159,183,61.06
Capitão (RS),2917,74,39.44
Carazinho (RS),61804,667,92.7
Caraá (RS),7360,295,24.98
Carlos Barbosa (RS),30418,230,132.22
Carlos Gomes (RS),1368,83,16.45
Casca (RS),9465,272,34.79
Caseiros (RS),3000,236,12.72
Catuípe (RS),8674,583,14.87
Caxias do Sul (RS),463338,1652,280.42
Centenário (RS),2721,134,20.27
Cerrito (RS),5808,452,12.86
Cerro Branco (RS),3802,158,24.06
Cerro Grande (RS),2379,73,32.39
Cerro Grande do Sul (RS),9178,325,28.25
Cerro Largo (RS),13705,177,77.59
Chapada (RS),9540,684,13.94
Charqueadas (RS),35012,217,161.08
Charrua (RS),2768,199,13.93
Chiapetta (RS),3913,397,9.85
Chuí (RS),6262,202,30.94
Chuvisca (RS),4597,220,20.85
Cidreira (RS),17071,243,70.13
Ciríaco (RS),4146,274,15.11
Colinas (RS),2423,61,39.9
Colorado (RS),3258,286,11.38
Condor (RS),6406,464,13.82
Constantina (RS),10385,204,51
Coqueiro Baixo (RS),1290,113,11.45
Coqueiros do Sul (RS),2211,277,7.98
Coronel Barros (RS),2822,164,17.24
Coronel Bicaco (RS),6144,492,12.48
Coronel Pilar (RS),1607,106,15.21
Cotiporã (RS),3846,173,22.2
Coxilha (RS),2667,422,6.32
Crissiumal (RS),12886,362,35.58
Cristal (RS),7299,682,10.7
Cristal do Sul (RS),2692,97,27.73
Cruz Alta (RS),58913,1361,43.3
Cruzaltense (RS),1635,167,9.8
Cruzeiro do Sul (RS),11600,155,74.81
David Canabarro (RS),4321,175,24.73
Derrubadas (RS),2751,361,7.62
Dezesseis de Novembro (RS),2507,217,11.53
Dilermando de Aguiar (RS),2806,601,4.67
Dois Irmãos (RS),30709,66,464.49
Dois Irmãos das Missões (RS),2090,226,9.24
Dois Lajeados (RS),3097,134,23.19
Dom Feliciano (RS),13051,1355,9.63
Dom Pedro de Alcântara (RS),2562,78,32.75
Dom Pedrito (RS),36981,5194,7.12
