Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Abdon Batista (SC),2598,238,10.94
Abelardo Luz (SC),17392,954,18.23
Agrolândia (SC),10990,207,53.14
Agronômica (SC),6055,130,46.66
Água Doce (SC),6508,1319,4.93
Águas de Chapecó (SC),6036,140,43.27
Águas Frias (SC),2839,77,37.05
Águas Mornas (SC),6743,327,20.64
Alfredo Wagner (SC),10481,733,14.29
Alto Bela Vista (SC),1856,103,17.94
Anchieta (SC),5943,232,25.58
Angelina (SC),5358,500,10.72
Anita Garibaldi (SC),8285,590,14.05
Anitápolis (SC),3593,541,6.65
Antônio Carlos (SC),11224,234,47.88
Apiúna (SC),9811,493,19.88
Arabutã (SC),4378,133,32.97
Araquari (SC),45180,387,116.84
Araranguá (SC),71922,302,238.3
Armazém (SC),8834,174,50.78
Arroio Trinta (SC),3556,94,38.02
Arvoredo (SC),2510,91,27.73
Ascurra (SC),8319,113,73.7
Atalanta (SC),3227,94,34.19
Aurora (SC),6780,207,32.75
Balneário Arroio do Silva (SC),15820,94,167.45
Balneário Camboriú (SC),139155,45,3077.7
Balneário Barra do Sul (SC),14912,109,136.92
Balneário Gaivota (SC),15669,147,106.71
Bandeirante (SC),3144,148,21.23
Barra Bonita (SC),1668,93,18.02
Barra Velha (SC),45371,139,326.53
Bela Vista do Toldo (SC),5872,536,10.96
Belmonte (SC),2658,94,28.32
Benedito Novo (SC),10520,388,27.09
Biguaçu (SC),76773,366,209.9
Blumenau (SC),361261,519,696.58
Bocaina do Sul (SC),3515,511,6.88
Bombinhas (SC),25058,35,713.03
Bom Jardim da Serra (SC),4026,939,4.29
Bom Jesus (SC),2777,64,43.47
Bom Jesus do Oeste (SC),2187,68,32.27
Bom Retiro (SC),8418,1057,7.96
Botuverá (SC),5363,296,18.1
Braço do Norte (SC),33773,212,159.27
Braço do Trombudo (SC),4026,89,45.03
Brunópolis (SC),2489,336,7.4
Brusque (SC),141385,285,496.65
Caçador (SC),73720,983,74.96
Caibi (SC),6304,173,36.42
Calmon (SC),3443,636,5.41
Camboriú (SC),103074,211,489.5
Capão Alto (SC),2625,1332,1.97
Campo Alegre (SC),12501,499,25.04
Campo Belo do Sul (SC),7257,1026,7.08
Campo Erê (SC),9623,479,20.08
Campos Novos (SC),36932,1718,21.5
Canelinha (SC),12821,151,84.9
Canoinhas (SC),55016,1148,47.92
Capinzal (SC),23314,244,95.53
Capivari de Baixo (SC),23975,53,450.47
Catanduvas (SC),10566,199,53.05
Caxambu do Sul (SC),4614,141,32.75
Celso Ramos (SC),2805,208,13.46
Cerro Negro (SC),3317,419,7.93
Chapadão do Lageado (SC),2950,125,23.63
Chapecó (SC),254781,625,407.75
Cocal do Sul (SC),17240,71,242.94
Concórdia (SC),81646,799,102.16
Cordilheira Alta (SC),4781,84,57.22
Coronel Freitas (SC),10388,234,44.45
Coronel Martins (SC),2065,108,19.21
Corupá (SC),15034,406,37.05
Correia Pinto (SC),15727,647,24.29
Criciúma (SC),214493,235,913.26
Cunha Porã (SC),10953,220,49.76
Cunhataí (SC),1968,55,35.91
Curitibanos (SC),40045,950,42.16
Descanso (SC),8530,287,29.72
Dionísio Cerqueira (SC),15008,379,39.62
Dona Emma (SC),4221,178,23.69
Doutor Pedrinho (SC),3637,374,9.72
Entre Rios (SC),3402,104,32.75
Ermo (SC),2269,65,34.74
Erval Velho (SC),4885,209,23.39
Faxinal dos Guedes (SC),11192,340,32.91
Flor do Sertão (SC),1783,58,30.5
Florianópolis (SC),537213,675,796.06
Formosa do Sul (SC),2682,100,26.71
Forquilhinha (SC),31431,183,171.43
Fraiburgo (SC),33481,549,60.96
Frei Rogério (SC),2411,159,15.19
Galvão (SC),3219,140,23.02
Garopaba (SC),29959,115,261.03
Garuva (SC),18556,504,36.85
Gaspar (SC),72570,387,187.71
Governador Celso Ramos (SC),16915,128,132.61
Grão-Pará (SC),6277,334,18.77
Gravatal (SC),12435,166,75.04
Guabiruba (SC),24543,172,142.55
Guaraciaba (SC),10796,332,32.54
Guaramirim (SC),46711,268,174.61
Guarujá do Sul (SC),4829,101,47.99
Guatambú (SC),8425,206,40.86
Herval d'Oeste (SC),21724,217,100.3
Ibiam (SC),2008,146,13.75
Ibicaré (SC),3269,156,20.9
Ibirama (SC),19862,247,80.38
Içara (SC),59035,230,256.24
Ilhota (SC),17046,253,67.37
Imaruí (SC),11881,542,21.91
Imbituba (SC),52581,182,289.58
Imbuia (SC),5982,119,50.22
Indaial (SC),71549,431,166.08
Iomerê (SC),2877,114,25.24
Ipira (SC),4578,156,29.41
Iporã do Oeste (SC),9333,201,46.44
Ipuaçu (SC),7501,261,28.73
Ipumirim (SC),7816,246,31.78
Iraceminha (SC),3986,165,24.14
Irani (SC),10195,326,31.29
Irati (SC),2069,78,26.56
Irineópolis (SC),10285,590,17.44
Itá (SC),7067,166,42.5
Itaiópolis (SC),22051,1298,16.99
Itajaí (SC),264054,289,913
Itapema (SC),75940,58,1304.59
Itapiranga (SC),16638,282,59.05
Itapoá (SC),30750,245,125.31
Ituporanga (SC),26525,337,78.81
Jaborá (SC),4310,182,23.62
Jacinto Machado (SC),10624,431,24.67
Jaguaruna (SC),20375,326,62.43
Jaraguá do Sul (SC),182660,531,344.06
Jardinópolis (SC),1776,68,25.93
Joaçaba (SC),30146,242,124.76
Joinville (SC),616323,1128,546.41
José Boiteux (SC),5985,406,14.76
Jupiá (SC),2546,91,27.84
Lacerdópolis (SC),2248,69,32.56
Lages (SC),164981,2638,62.55
Laguna (SC),42785,333,128.38
Lajeado Grande (SC),1702,65,26.05
Laurentino (SC),7932,79,99.98
Lauro Müller (SC),14381,272,52.9
Lebon Régis (SC),11472,942,12.18
Leoberto Leal (SC),3330,294,11.34
Lindóia do Sul (SC),4549,190,23.92
Lontras (SC),12873,198,65.15
Luiz Alves (SC),11684,260,44.92
Luzerna (SC),5794,117,49.48
Macieira (SC),1778,261,6.81
Mafra (SC),55286,1404,39.38
Major Gercino (SC),3214,306,10.5
Major Vieira (SC),7425,521,14.26
Maracajá (SC),7815,63,124.24
Maravilha (SC),28251,170,165.85
Marema (SC),2184,104,20.96
Massaranduba (SC),17162,374,45.83
Matos Costa (SC),2761,435,6.34
Meleiro (SC),7006,186,37.58
Mirim Doce (SC),2498,338,7.39
Modelo (SC),4080,92,44.18
Mondaí (SC),10066,200,50.26
Monte Carlo (SC),9117,191,47.66
Monte Castelo (SC),7736,561,13.8
Morro da Fumaça (SC),18537,83,223.83
Morro Grande (SC),3010,260,11.57
Navegantes (SC),86401,111,775.75
Nova Erechim (SC),5155,65,79.2
Nova Itaberaba (SC),4536,137,33.02
Nova Trento (SC),13727,403,34.07
Nova Veneza (SC),13664,295,46.31
Novo Horizonte (SC),2650,152,17.47
Orleans (SC),23661,550,43.03
Otacílio Costa (SC),17312,847,20.43
Ouro (SC),7032,214,32.93
Ouro Verde (SC),2181,189,11.57
Paial (SC),1927,86,22.39
Painel (SC),2215,738,3
Palhoça (SC),222598,395,563.75
Palma Sola (SC),7605,331,22.98
Palmeira (SC),2561,289,8.86
Palmitos (SC),15626,351,44.51
Papanduva (SC),19150,765,25.04
Paraíso (SC),4267,180,23.66
Passo de Torres (SC),12897,93,139.22
Passos Maia (SC),4034,617,6.54
Paulo Lopes (SC),9066,446,20.32
Pedras Grandes (SC),4245,160,26.55
Penha (SC),33663,58,582.89
Peritiba (SC),2992,96,31.11
Pescaria Brava (SC),10190,107,95.36
Petrolândia (SC),6716,307,21.89
Balneário Piçarras (SC),27127,99,273.03
Pinhalzinho (SC),21972,129,170.69
Pinheiro Preto (SC),3473,61,56.92
Piratuba (SC),5769,146,39.49
Planalto Alegre (SC),2946,63,46.69
Pomerode (SC),34263,214,159.88
Ponte Alta (SC),4437,575,7.71
Ponte Alta do Norte (SC),3210,397,8.09
Ponte Serrada (SC),10649,561,18.99
Porto Belo (SC),27688,94,295.58
Porto União (SC),32970,849,38.84
Pouso Redondo (SC),17125,357,48.03
Praia Grande (SC),8270,284,29.08
Presidente Castello Branco (SC),1689,65,25.81
Presidente Getúlio (SC),20010,297,67.34
Presidente Nereu (SC),2301,225,10.24
Princesa (SC),2964,86,34.63
Quilombo (SC),10937,279,39.2
Rancho Queimado (SC),3279,286,11.45
Rio das Antas (SC),6253,315,19.86
Rio do Campo (SC),6452,502,12.85
Rio do Oeste (SC),7747,245,31.61
Rio dos Cedros (SC),10865,555,19.56
Rio do Sul (SC),72587,261,278.31
Rio Fortuna (SC),4847,302,16.03
Rio Negrinho (SC),39258,907,43.26
Rio Rufino (SC),2397,283,8.48
Riqueza (SC),4768,191,24.96
Rodeio (SC),12757,129,98.89
Romelândia (SC),4823,223,21.6
Salete (SC),7489,178,42.1
Saltinho (SC),3632,157,23.2
Salto Veloso (SC),4390,105,42
Sangão (SC),12882,83,155.23
Santa Cecília (SC),15546,1146,13.57
Santa Helena (SC),2425,81,29.94
Santa Rosa de Lima (SC),2088,203,10.27
Santa Rosa do Sul (SC),9792,150,65.15
Santa Terezinha (SC),8066,716,11.27
Santa Terezinha do Progresso (SC),2576,120,21.53
Santiago do Sul (SC),1651,73,22.51
Santo Amaro da Imperatriz (SC),27272,344,79.22
São Bernardino (SC),2684,150,17.91
São Bento do Sul (SC),83275,496,167.97
São Bonifácio (SC),2946,461,6.38
São Carlos (SC),10282,162,63.42
São Cristóvão do Sul (SC),6084,346,17.59
São Domingos (SC),9226,368,25.1
São Francisco do Sul (SC),52674,493,106.79
São João do Oeste (SC),6295,164,38.44
São João Batista (SC),32687,201,162.81
São João do Itaperiú (SC),4463,152,29.38
São João do Sul (SC),8668,184,47.01
São Joaquim (SC),25939,1889,13.73
São José (SC),270295,150,1795.99
São José do Cedro (SC),14167,281,50.46
São José do Cerrito (SC),8708,949,9.18
São Lourenço do Oeste (SC),24785,356,69.58
São Ludgero (SC),13509,107,126.53
São Martinho (SC),3405,225,15.16
São Miguel da Boa Vista (SC),1781,73,24.48
São Miguel do Oeste (SC),44330,234,189.28
São Pedro de Alcântara (SC),5776,139,41.5
Saudades (SC),10265,206,49.88
Schroeder (SC),20061,165,121.41
Seara (SC),18620,310,60.14
Serra Alta (SC),3303,91,36.47
Siderópolis (SC),13714,262,52.34
Sombrio (SC),29991,143,209.06
Sul Brasil (SC),2832,113,25.03
Taió (SC),18318,694,26.4
Tangará (SC),8143,390,20.88
Tigrinhos (SC),2329,57,40.89
Tijucas (SC),51592,279,184.81
Timbé do Sul (SC),5386,329,16.4
Timbó (SC),46099,128,359.27
Timbó Grande (SC),7342,596,12.31
Três Barras (SC),19746,436,45.24
Treviso (SC),3689,157,23.56
Treze de Maio (SC),7362,160,46.06
Treze Tílias (SC),8787,186,47.26
Trombudo Central (SC),7274,110,66.34
Tubarão (SC),110088,301,365.15
Tunápolis (SC),4916,133,36.98
Turvo (SC),13043,235,55.48
União do Oeste (SC),2774,93,29.87
Urubici (SC),10834,1021,10.61
Urupema (SC),2656,350,7.58
Urussanga (SC),20919,255,82.05
Vargeão (SC),3634,167,21.8
Vargem (SC),2627,351,7.49
Vargem Bonita (SC),4576,300,15.26
Vidal Ramos (SC),6189,347,17.84
Videira (SC),55466,384,144.39
Vitor Meireles (SC),5370,370,14.5
Witmarsum (SC),4255,154,27.67
Xanxerê (SC),51607,377,136.73
Xavantina (SC),3653,218,16.75
Xaxim (SC),31918,294,108.7
Zortéa (SC),3930,190,20.66
Balneário Rincão (SC),15981,63,251.99
