Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Amparo do São Francisco (SE),2170,36,60.81
Aquidabã (SE),20131,360,55.99
Aracaju (SE),602757,182,3308.89
Arauá (SE),10318,199,51.86
Areia Branca (SE),18081,148,122.06
Barra dos Coqueiros (SE),41511,92,449.9
Boquim (SE),24638,205,119.93
Brejo Grande (SE),7841,141,55.43
Campo do Brito (SE),18149,202,90.06
Canhoba (SE),3791,172,22.09
Canindé de São Francisco (SE),26834,934,28.73
Capela (SE),31645,442,71.56
Carira (SE),19939,639,31.22
Carmópolis (SE),13853,46,298.59
Cedro de São João (SE),5391,84,64.4
Cristinápolis (SE),17100,229,74.82
Cumbe (SE),3824,128,29.78
Divina Pastora (SE),4340,91,47.95
Estância (SE),65078,647,100.53
Feira Nova (SE),5975,183,32.6
Frei Paulo (SE),14530,399,36.4
Gararu (SE),11096,657,16.89
General Maynard (SE),3037,20,153.44
Gracho Cardoso (SE),5834,243,24.04
Ilha das Flores (SE),8321,53,157.91
Indiaroba (SE),16549,316,52.32
Itabaiana (SE),103439,337,306.67
Itabaianinha (SE),40678,502,81.07
Itabi (SE),4745,183,25.87
Itaporanga d'Ajuda (SE),34411,740,46.52
Japaratuba (SE),16209,366,44.33
Japoatã (SE),13407,402,33.32
Lagarto (SE),101579,969,104.84
Laranjeiras (SE),23975,162,147.74
Macambira (SE),6838,137,49.73
Malhada dos Bois (SE),3579,63,56.63
Malhador (SE),11533,102,113.19
Maruim (SE),15719,96,164.5
Moita Bonita (SE),11050,95,115.81
Monte Alegre de Sergipe (SE),14336,387,37.05
Muribeca (SE),7822,74,105.26
Neópolis (SE),16426,271,60.54
Nossa Senhora Aparecida (SE),9232,341,27.09
Nossa Senhora da Glória (SE),41202,758,54.33
Nossa Senhora das Dores (SE),24996,482,51.81
Nossa Senhora de Lourdes (SE),6268,84,74.83
Nossa Senhora do Socorro (SE),192330,155,1240.69
Pacatuba (SE),12502,381,32.78
Pedra Mole (SE),2778,82,33.79
Pedrinhas (SE),7396,33,221.81
Pinhão (SE),5677,156,36.3
Pirambu (SE),7913,209,37.92
Poço Redondo (SE),33439,1220,27.4
Poço Verde (SE),21794,441,49.38
Porto da Folha (SE),26576,878,30.27
Propriá (SE),26618,96,276.35
Riachão do Dantas (SE),18313,531,34.51
Riachuelo (SE),8311,78,106.13
Ribeirópolis (SE),17033,259,65.75
Rosário do Catete (SE),9295,103,90.52
Salgado (SE),20279,248,81.91
Santa Luzia do Itanhy (SE),13616,325,41.86
Santana do São Francisco (SE),7346,44,166.89
Santa Rosa de Lima (SE),3937,68,58.18
Santo Amaro das Brotas (SE),11092,237,46.81
São Cristóvão (SE),95612,438,218.27
São Domingos (SE),10327,102,101.25
São Francisco (SE),3243,84,38.61
São Miguel do Aleixo (SE),3434,145,23.7
Simão Dias (SE),42578,560,76.01
Siriri (SE),7834,168,46.54
Telha (SE),3274,48,68.41
Tobias Barreto (SE),50905,1025,49.68
Tomar do Geru (SE),12012,305,39.4
Umbaúba (SE),23917,118,203.52
