Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Adamantina (SP),34687,412,84.19
Adolfo (SP),4351,211,20.62
Aguaí (SP),32072,475,67.58
Águas da Prata (SP),7369,143,51.65
Águas de Lindóia (SP),17829,60,296.53
Águas de Santa Bárbara (SP),7177,404,17.74
Águas de São Pedro (SP),2780,4,769.66
Agudos (SP),37680,967,38.98
Alambari (SP),6141,160,38.48
Alfredo Marcondes (SP),4445,119,37.38
Altair (SP),3451,313,11.03
Altinópolis (SP),16818,929,18.1
Alto Alegre (SP),3841,319,12.06
Alumínio (SP),17301,84,206.9
Álvares Florence (SP),3915,362,10.8
Álvares Machado (SP),27245,348,78.37
Álvaro de Carvalho (SP),4808,154,31.29
Alvinlândia (SP),2885,85,33.99
Americana (SP),237247,134,1771.66
Américo Brasiliense (SP),33019,123,268.54
Américo de Campos (SP),5870,253,23.21
Amparo (SP),68008,445,152.72
Analândia (SP),4589,326,14.08
Andradina (SP),59783,964,62
Angatuba (SP),24022,1027,23.38
Anhembi (SP),5674,737,7.7
Anhumas (SP),4023,321,12.54
Aparecida (SP),32569,121,269.41
Aparecida d'Oeste (SP),4086,179,22.83
Apiaí (SP),24585,974,25.23
Araçariguama (SP),21522,145,148.22
Araçatuba (SP),200124,1167,171.47
Araçoiaba da Serra (SP),32443,255,127.08
Aramina (SP),5420,203,26.72
Arandu (SP),6885,286,24.08
Arapeí (SP),2330,157,14.85
Araraquara (SP),242228,1004,241.35
Araras (SP),130866,645,202.95
Arco-Íris (SP),2044,265,7.72
Arealva (SP),8130,506,16.06
Areias (SP),3577,305,11.72
Areiópolis (SP),10130,86,117.92
Ariranha (SP),7602,133,57.32
Artur Nogueira (SP),51456,178,289.04
Arujá (SP),86678,96,901.33
Aspásia (SP),1842,69,26.55
Assis (SP),101409,461,220.16
Atibaia (SP),158640,479,331.52
Auriflama (SP),13692,434,31.51
Avaí (SP),4483,541,8.29
Avanhandava (SP),11263,338,33.29
Avaré (SP),92805,1213,76.51
Bady Bassitt (SP),27260,110,246.98
Balbinos (SP),3887,92,42.42
Bálsamo (SP),9596,150,64.02
Bananal (SP),9969,616,16.17
Barão de Antonina (SP),3531,153,23.06
Barbosa (SP),5640,205,27.48
Bariri (SP),31595,444,71.1
Barra Bonita (SP),34346,150,228.79
Barra do Chapéu (SP),5162,406,12.72
Barra do Turvo (SP),6875,1008,6.82
Barretos (SP),122485,1566,78.21
Barrinha (SP),32092,146,219.77
