Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Abreulândia (TO),2576,1906,1.35
Aguiarnópolis (TO),4497,237,18.99
Aliança do Tocantins (TO),5147,1581,3.26
Almas (TO),6499,4007,1.62
Alvorada (TO),8802,1207,7.29
Ananás (TO),10325,1581,6.53
Angico (TO),2876,448,6.43
Aparecida do Rio Negro (TO),4856,1159,4.19
Aragominas (TO),5290,1168,4.53
Araguacema (TO),5927,2775,2.14
Araguaçu (TO),8133,5155,1.58
Araguaína (TO),171301,4005,42.78
Araguanã (TO),4310,835,5.16
Araguatins (TO),31918,2633,12.12
Arapoema (TO),5550,1558,3.56
Arraias (TO),10287,5803,1.77
Augustinópolis (TO),17484,389,44.97
Aurora do Tocantins (TO),3342,696,4.8
Axixá do Tocantins (TO),10262,154,66.84
Babaçulândia (TO),7880,1790,4.4
Bandeirantes do Tocantins (TO),3407,1541,2.21
Barra do Ouro (TO),4476,1106,4.05
Barrolândia (TO),4846,698,6.95
Bernardo Sayão (TO),4229,924,4.58
Bom Jesus do Tocantins (TO),4033,1327,3.04
Brasilândia do Tocantins (TO),1974,646,3.06
Brejinho de Nazaré (TO),4725,1723,2.74
Buriti do Tocantins (TO),10307,253,40.78
Cachoeirinha (TO),1961,352,5.58
Campos Lindos (TO),8653,3234,2.68
Cariri do Tocantins (TO),4007,1126,3.56
Carmolândia (TO),2201,339,6.49
Carrasco Bonito (TO),3318,190,17.43
Caseara (TO),4847,1680,2.89
Centenário (TO),2131,1953,1.09
Chapada de Areia (TO),1501,659,2.28
Chapada da Natividade (TO),3117,1641,1.9
Colinas do Tocantins (TO),34233,842,40.63
Combinado (TO),4756,209,22.78
Conceição do Tocantins (TO),3887,2531,1.54
Couto Magalhães (TO),5331,1584,3.37
Cristalândia (TO),6371,1851,3.44
Crixás do Tocantins (TO),1470,984,1.49
Darcinópolis (TO),5827,1642,3.55
Dianópolis (TO),17739,3318,5.35
Divinópolis do Tocantins (TO),7024,2358,2.98
Dois Irmãos do Tocantins (TO),6327,3748,1.69
Dueré (TO),4248,3421,1.24
Esperantina (TO),7530,506,14.88
Fátima (TO),3467,380,9.11
Figueirópolis (TO),5211,1936,2.69
Filadélfia (TO),7712,1991,3.87
Formoso do Araguaia (TO),18881,13432,1.41
Tabocão (TO),3455,624,5.53
Goianorte (TO),4738,1797,2.64
Goiatins (TO),12433,6415,1.94
Guaraí (TO),24775,2107,11.76
Gurupi (TO),85126,1844,46.16
Ipueiras (TO),1590,821,1.94
Itacajá (TO),6819,3047,2.24
Itaguatins (TO),5172,730,7.08
Itapiratins (TO),3577,1246,2.87
Itaporã do Tocantins (TO),2404,970,2.48
Jaú do Tocantins (TO),3334,2167,1.54
Juarina (TO),2243,483,4.64
Lagoa da Confusão (TO),15288,10563,1.45
Lagoa do Tocantins (TO),3516,918,3.83
Lajeado (TO),3357,318,10.55
Lavandeira (TO),1626,468,3.47
Lizarda (TO),2999,5717,0.52
Luzinópolis (TO),2717,282,9.65
Marianópolis do Tocantins (TO),4615,2090,2.21
Mateiros (TO),2748,9589,0.29
Maurilândia do Tocantins (TO),3095,736,4.2
Miracema do Tocantins (TO),18566,2664,6.97
Miranorte (TO),12701,1033,12.29
Monte do Carmo (TO),5694,3601,1.58
Monte Santo do Tocantins (TO),2396,1073,2.23
Palmeiras do Tocantins (TO),4872,743,6.55
Muricilândia (TO),3367,1194,2.82
Natividade (TO),8754,3242,2.7
Nazaré (TO),4521,396,11.42
Nova Olinda (TO),10367,1568,6.61
Nova Rosalândia (TO),3362,515,6.53
Novo Acordo (TO),3969,2678,1.48
Novo Alegre (TO),1846,200,9.21
Novo Jardim (TO),2230,1214,1.84
Oliveira de Fátima (TO),1164,209,5.56
Palmeirante (TO),4798,2638,1.82
Palmeirópolis (TO),6975,1709,4.08
Paraíso do Tocantins (TO),52360,1292,40.52
Paranã (TO),10542,11217,0.94
Pau D'Arco (TO),4043,1376,2.94
Pedro Afonso (TO),14055,2020,6.96
Peixe (TO),9317,5304,1.76
Pequizeiro (TO),4921,1206,4.08
Colméia (TO),8941,1161,7.7
Pindorama do Tocantins (TO),4478,1561,2.87
Piraquê (TO),2282,1363,1.67
Pium (TO),7128,10004,0.71
Ponte Alta do Bom Jesus (TO),4220,1719,2.46
Ponte Alta do Tocantins (TO),7586,6543,1.16
Porto Alegre do Tocantins (TO),2866,507,5.66
Porto Nacional (TO),64418,4435,14.53
Praia Norte (TO),9044,301,30.05
Presidente Kennedy (TO),3047,772,3.95
Pugmil (TO),2193,401,5.47
Recursolândia (TO),3421,2216,1.54
Riachinho (TO),3960,512,7.73
Rio da Conceição (TO),1768,846,2.09
Rio dos Bois (TO),2738,847,3.23
Rio Sono (TO),4841,6346,0.76
Sampaio (TO),4215,222,18.95
Sandolândia (TO),3723,3535,1.05
Santa Fé do Araguaia (TO),7216,1671,4.32
Santa Maria do Tocantins (TO),2680,1412,1.9
Santa Rita do Tocantins (TO),2219,3281,0.68
Santa Rosa do Tocantins (TO),4656,1805,2.58
Santa Tereza do Tocantins (TO),2781,540,5.15
Santa Terezinha do Tocantins (TO),2406,274,8.78
São Bento do Tocantins (TO),5654,1100,5.14
São Félix do Tocantins (TO),1783,1913,0.93
São Miguel do Tocantins (TO),13241,407,32.54
São Salvador do Tocantins (TO),2385,1425,1.67
São Sebastião do Tocantins (TO),4100,290,14.16
São Valério (TO),4422,2520,1.75
Silvanópolis (TO),5108,1259,4.06
Sítio Novo do Tocantins (TO),10830,307,35.27
Sucupira (TO),1577,1018,1.55
Taguatinga (TO),14011,2342,5.98
Taipas do Tocantins (TO),2021,1105,1.83
Talismã (TO),2456,2156,1.14
Palmas (TO),302692,2227,135.9
Tocantínia (TO),7459,2610,2.86
Tocantinópolis (TO),22615,1084,20.87
Tupirama (TO),1909,707,2.7
Tupiratins (TO),1874,889,2.11
Wanderlândia (TO),10522,1365,7.71
Xambioá (TO),10517,1190,8.83
